mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
O=C(O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](NC(=O)[C@@](N)Cc1c2c([nH]c1)cccc2)C)CC(=O)O)C)CO)CCC(=O)O,1,166,-9.567215,4.7800717,-59.156017,-57.105751,-7.0896349,-58.923641,-9.567215,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.0038928986,1
Clc1ccc(C[C@@](NC(=O)[C@](NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)CCCCNC(=O)c2cnccc2)CCCCNC(=O)c2cnccc2)CO)Cc2cnccc2)cc1,1,458,-9.5114298,2.7071373,1.0131152,-42.285221,-5.3683171,-57.556065,-9.5114298,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
Clc1c(O)ccc([C@]2C(=O)O[C@](C(=O)N)[C@](NC(=O)[C@@](NC(=O)/C=C/C=C/CCC)CC(=O)N)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@](CCCN)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@@]([C@@](O)C)C(=O)N[C@@](Cc3ccccc3)C(=O)N[C@](CCCN)C(=O)N[C@@](c3ccc(O[C@@]4[C@@](O)[C@@](O)[C@](O)[C@@](CO)O4)cc3)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)NCC(=O)N[C@@](CC(C)C)C(=O)N[C@](C)C(=O)N2)c1,1,578,-9.4976339,2.8652568,87.619179,5.6629157,-6.0157189,-54.96833,-9.4976339,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
Fc1c(C)c2c3c(nc4c(c3[C@@](NC(=O)COCNC(=O)CNC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CCCCCN3C(=O)CCC3=O)Cc3ccccc3)CC2)CN2C(=O)C3=C([C@@](O)(CC)C(=O)OC3)C=C42)c1,1,291,-9.445323,5.2793374,-66.939873,19.54365,-6.0168862,-59.024967,-9.445323,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.18870798,1
Fc1c(C)c2c3c(nc4c(c3[C@@](NC(=O)COCNC(=O)CNC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CCCCCN3C(=O)CCC3=O)Cc3ccccc3)CC2)CN2C(=O)C3=C([C@@](O)(CC)C(=O)OC3)C=C42)c1,1,291,-9.4423542,3.3005669,-57.42178,-67.774162,-6.1443834,-62.775002,-9.4423542,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.018217087,1
O=C(O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](NC(=O)[C@@](N)Cc1c2c([nH]c1)cccc2)C)CC(=O)O)C)CO)CCC(=O)O,1,166,-9.4083462,2.2768245,-58.016495,-52.586647,-7.2873526,-60.407269,-9.4083462,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.0038928986,1
Clc1c(O)ccc([C@]2C(=O)O[C@](C(=O)N)[C@](NC(=O)[C@@](NC(=O)/C=C/C=C/CCC)CC(=O)N)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@](CCCN)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@@]([C@@](O)C)C(=O)N[C@@](Cc3ccccc3)C(=O)N[C@](CCCN)C(=O)N[C@@](c3ccc(O[C@@]4[C@@](O)[C@@](O)[C@](O)[C@@](CO)O4)cc3)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)NCC(=O)N[C@@](CC(C)C)C(=O)N[C@](C)C(=O)N2)c1,1,578,-9.2974348,5.4911819,84.096214,-32.282772,-4.6731896,-56.246166,-9.2974348,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
O=C(O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](NC(=O)[C@@](N)Cc1c2c([nH]c1)cccc2)C)CC(=O)O)C)CO)CCC(=O)O,1,166,-9.2751293,2.1013942,-57.969486,-37.291805,-9.2922029,-59.524422,-9.2751293,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.0038928986,1
O=C(N)C(NC(=O)c1nc(-c2c(O)cc3-c4scc(C(=O)NC(C(O)C)C(=O)N/C(=C\C)/c5scc(C(=O)NC6c7scc(C(=O)NC(c8scc(n8)-c3n2)CSC(=O)c2c(C)c3c([nH]2)cccc3COC(=O)C(O)C6)n7)n5)n4)sc1)=C,1,156,-9.2235031,2.6908147,298.60181,-77.551399,-10.289938,-56.358662,-9.2235031,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
Clc1ccc(C[C@@](NC(=O)[C@](NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)CCCCNC(=O)c2cnccc2)CCCCNC(=O)c2cnccc2)CO)Cc2cnccc2)cc1,1,458,-9.0658855,1.7390678,-10.125852,-44.446785,-5.4179015,-53.633881,-9.0658855,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
O=C(O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](NC(=O)[C@@](N)Cc1c2c([nH]c1)cccc2)C)CC(=O)O)C)CO)CCC(=O)O,1,166,-9.058033,2.9561718,-60.361794,-45.66684,-9.5934763,-57.449631,-9.058033,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.0038928986,1
O=C(OC1CC(O)CC(O)C(C)C(O)/C=C/C=C/C(C)C(C(CC(CCC/C=C/CCCN(C(=N)N)C)C)C)OC(=O)C(C)C(O)/C=C/C(C)C(O)C(C)C(O)C(C)C(O)CCCC(O)CC2(O)C(O)C(O)CC(O2)C1)CC(=O)O,1,530,-9.0532255,1.9745619,-327.26212,-35.589691,-6.8497338,-54.495754,-9.0532255,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.079468004,1
O=C(O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](NC(=O)[C@@](N)Cc1c2c([nH]c1)cccc2)C)CC(=O)O)C)CO)CCC(=O)O,1,166,-8.9821033,2.6119106,-57.493721,-69.99984,-8.3916817,-56.68021,-8.9821033,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.0038928986,1
Clc1c(O)ccc([C@]2C(=O)O[C@](C(=O)N)[C@](NC(=O)[C@@](NC(=O)/C=C/C=C/CCC)CC(=O)N)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@](CCCN)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@@]([C@@](O)C)C(=O)N[C@@](Cc3ccccc3)C(=O)N[C@](CCCN)C(=O)N[C@@](c3ccc(O[C@@]4[C@@](O)[C@@](O)[C@](O)[C@@](CO)O4)cc3)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)NCC(=O)N[C@@](CC(C)C)C(=O)N[C@](C)C(=O)N2)c1,1,578,-8.9274712,3.3463092,105.41911,-15.277755,-4.5381951,-57.646561,-8.9274712,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
Clc1ccc(C[C@@](NC(=O)[C@](NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)CCCCNC(=O)c2cnccc2)CCCCNC(=O)c2cnccc2)CO)Cc2cnccc2)cc1,1,458,-8.92694,2.3281128,-10.78098,-48.302811,-7.9668641,-52.513016,-8.92694,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
Fc1c(C)c2c3c(nc4c(c3[C@@](NC(=O)COCNC(=O)CNC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CCCCCN3C(=O)CCC3=O)Cc3ccccc3)CC2)CN2C(=O)C3=C([C@@](O)(CC)C(=O)OC3)C=C42)c1,1,291,-8.9057837,1.7383341,-61.415157,-43.323631,-6.8076568,-48.16383,-8.9057837,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.014324188,1
Clc1ccc(C[C@@](NC(=O)[C@](NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)CCCCNC(=O)c2cnccc2)CCCCNC(=O)c2cnccc2)CO)Cc2cnccc2)cc1,1,458,-8.8548222,3.4971695,-12.000096,-68.352715,-7.1675138,-53.23962,-8.8548222,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
O=C(O[C@](COC(=O)CCCCCCC/C=C\CCCCCCCC)[C@@]1[C@](OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@@](O)CO1)CCCCCCC/C=C\CCCCCCCC,1,905,-8.8472929,2.3113,73.69928,-46.593239,-5.349762,-50.436214,-8.8472929,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
S(CC(OCCCCCCCCCC)COP(=O)(OC[C@@]1[C@@](N=[N+]=[N-])C[C@](N2C(=O)NC(=O)C(C)=C2)O1)O)CCCCCCCCCCCC,1,724,-8.8384066,3.012249,-181.04068,-38.062607,-11.700101,-52.126476,-8.8384066,$HOME/My Research/Docking/sdf/smiles_data4.sdf,1.0727539,1
Fc1c(C)c2c3c(nc4c(c3[C@@](NC(=O)COCNC(=O)CNC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CCCCCN3C(=O)CCC3=O)Cc3ccccc3)CC2)CN2C(=O)C3=C([C@@](O)(CC)C(=O)OC3)C=C42)c1,1,291,-8.8128138,3.807735,-61.553795,-51.196571,-5.3187494,-56.813869,-8.8128138,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.18746057,1
Clc1c(O)ccc([C@]2C(=O)O[C@](C(=O)N)[C@](NC(=O)[C@@](NC(=O)/C=C/C=C/CCC)CC(=O)N)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@](CCCN)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@@]([C@@](O)C)C(=O)N[C@@](Cc3ccccc3)C(=O)N[C@](CCCN)C(=O)N[C@@](c3ccc(O[C@@]4[C@@](O)[C@@](O)[C@](O)[C@@](CO)O4)cc3)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)NCC(=O)N[C@@](CC(C)C)C(=O)N[C@](C)C(=O)N2)c1,1,578,-8.7763863,3.4665825,98.755692,-28.669987,-7.1044703,-57.64352,-8.7763863,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
O=C(O[C@](COC(=O)CCCCCCC/C=C\CCCCCCCC)[C@@]1[C@](OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@@](O)CO1)CCCCCCC/C=C\CCCCCCCC,1,905,-8.7680254,6.3272095,63.426491,9.1130924,-5.0735526,-48.813316,-8.7680254,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
S=C=Nc1ccc(NC(=S)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)C)cc1,1,243,-8.7583494,7.7122149,-142.18059,39.564785,-4.1488576,-57.094471,-8.7583494,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.64364624,1
Clc1c(O)ccc([C@]2C(=O)O[C@](C(=O)N)[C@](NC(=O)[C@@](NC(=O)/C=C/C=C/CCC)CC(=O)N)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@](CCCN)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)N[C@](c3ccc(O)cc3)C(=O)N[C@@]([C@@](O)C)C(=O)N[C@@](Cc3ccccc3)C(=O)N[C@](CCCN)C(=O)N[C@@](c3ccc(O[C@@]4[C@@](O)[C@@](O)[C@](O)[C@@](CO)O4)cc3)C(=O)N[C@]([C@](O)C)C(=O)N[C@@](c3ccc(O)cc3)C(=O)NCC(=O)N[C@@](CC(C)C)C(=O)N[C@](C)C(=O)N2)c1,1,578,-8.7116861,2.6671505,86.821983,-38.259743,-8.566082,-55.64661,-8.7116861,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
Fc1c(C)c2c3c(nc4c(c3[C@@](NC(=O)COCNC(=O)CNC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CCCCCN3C(=O)CCC3=O)Cc3ccccc3)CC2)CN2C(=O)C3=C([C@@](O)(CC)C(=O)OC3)C=C42)c1,1,291,-8.6573515,3.2181106,-59.292244,-33.412148,-6.2693768,-53.810841,-8.6573515,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.19335938,1
Clc1ccc(C[C@@](NC(=O)[C@](NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)CCCCNC(=O)c2cnccc2)CCCCNC(=O)c2cnccc2)CO)Cc2cnccc2)cc1,1,458,-8.5732021,3.4863424,-5.4545665,-30.167141,-4.0874362,-49.626968,-8.5732021,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
O=C(O[C@](COC(=O)CCCCCCC/C=C\CCCCCCCC)[C@@]1[C@](OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@@](O)CO1)CCCCCCC/C=C\CCCCCCCC,1,905,-8.572258,3.0356295,70.189507,-2.7581325,-4.683702,-40.801785,-8.572258,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
S(CC(OCCCCCCCCCC)COP(=O)(OC[C@@]1[C@@](N=[N+]=[N-])C[C@](N2C(=O)NC(=O)C(C)=C2)O1)O)CCCCCCCCCCCC,1,724,-8.53088,1.5467944,-178.92731,-37.582981,-8.9178543,-48.862072,-8.53088,$HOME/My Research/Docking/sdf/smiles_data4.sdf,1.0727539,1
O(C)c1c(OC)ccc(CC2[N+](CCCCCCCCCC[N+]3(C)C(Cc4cc(OC)c(OC)cc4)c4c(cc(OC)c(OC)c4)CC3)(C)CCc3c2cc(OC)c(OC)c3)c1,1,636,-8.5284977,3.1916168,110.92478,-43.046822,-10.648787,-48.149136,-8.5284977,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.26811504,1
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@]2N(C(=O)[C@]3N(C(=O)[C@@](N)CCCNC(=N)N)CCC3)CCC2)Cc2ccccc2)CO)CCC1)Cc1ccccc1)CCCNC(=N)N,1,516,-8.5162878,2.2028184,-229.29607,-80.604477,-7.9999919,-41.602058,-8.5162878,$HOME/My Research/Docking/sdf/smiles_data4.sdf,1.6067668,1
Clc1c(Cl)ccc(CS(=O)(=O)NCCc2n(C(c3ccccc3)c3ccccc3)c3c(c2CCOc2ccc(C(=O)O)cc2)cc(Cl)cc3)c1,1,119,-8.4616051,1.6360831,70.074783,-58.800877,-10.144874,-50.27372,-8.4616051,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.9489513,1
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@]2N(C(=O)[C@]3N(C(=O)[C@@](N)CCCNC(=N)N)CCC3)CCC2)Cc2ccccc2)CO)CCC1)Cc1ccccc1)CCCNC(=N)N,1,516,-8.4613419,3.733372,-221.62549,-63.466251,-7.4308691,-47.208012,-8.4613419,$HOME/My Research/Docking/sdf/smiles_data4.sdf,2.8063748,1
S(CC(OCCCCCCCCCC)COP(=O)(OC[C@@]1[C@@](N=[N+]=[N-])C[C@](N2C(=O)NC(=O)C(C)=C2)O1)O)CCCCCCCCCCCC,1,724,-8.4565897,4.0519757,-168.89189,-64.154877,-8.6391907,-48.572117,-8.4565897,$HOME/My Research/Docking/sdf/smiles_data4.sdf,1.0727539,1
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@]2N(C(=O)[C@]3N(C(=O)[C@@](N)CCCNC(=N)N)CCC3)CCC2)Cc2ccccc2)CO)CCC1)Cc1ccccc1)CCCNC(=N)N,1,516,-8.3980923,2.1583745,-219.10649,-71.165756,-9.4461851,-43.760963,-8.3980923,$HOME/My Research/Docking/sdf/smiles_data4.sdf,2.8063748,1
Clc1c(Cl)ccc(CS(=O)(=O)NCCc2n(C(c3ccccc3)c3ccccc3)c3c(c2CCOc2ccc(C(=O)O)cc2)cc(Cl)cc3)c1,1,119,-8.3747616,1.4168613,70.837921,-75.213722,-11.251686,-48.490086,-8.3747616,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.94982028,1
O=C(OC)c1c(C)oc([C@@](OC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)COC(=O)c2cnccc2)c1,1,918,-8.2845497,2.5496848,75.508682,-94.817589,-11.417082,-43.564949,-8.2845497,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0,1
O=C(N[C@@]1[C@](O)[C@](C)O[C@@](O[C@@]2c3c(O)c4C(=O)c5c(OC)cccc5C(=O)c4c(O)c3C[C@@](O)(C(=O)CO)C2)C1)[C@@](N)CC(C)C,1,867,-8.2775555,1.773724,29.627501,-82.132401,-8.9446735,-45.013813,-8.2775555,$HOME/My Research/Docking/sdf/smiles_data4.sdf,0.80622584,1
