mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,E_orig,Rec_index
Fc1c(CC(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(N)Cc2[nH]cnc2)(C)C)CCC(=O)O)C(O)C)(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)Cc2cnc(-c3c(C)cccc3)cc2)Cc2ccc(-c3c(CC)cc(OC)cc3)cc2)CC(=O)O)CO)C(O)C)C)cccc1,1,1,-12.442863,5.4087086,2.489754,16.525415,-4.4077315,-85.575668,-12.442863,0,1
S(CCC1C(=O)NC(CC(C)C)C(=O)NC(CC(=O)N)C(=O)N2C(C(=O)N3C(C(=O)NC(CC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC4C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)O)C(=O)NC(C(O)C)C(=O)NC(CC(=O)O)C(=O)NC5C(=O)N6C(C(=O)NCC(=O)NC(C(CC)C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(=O)NC7C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(=O)NCC(=O)NC(CCSC)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N8C(C(=O)NC(C(=O)O)CCC(=O)N)CCC8)C(C)C)Cc8ccccc8)CSSC5)CSSCC(C(=O)NC(C)C(=O)N1)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(CC)C)NC(=O)C(CC(C)C)NC(=O)C(C(CC)C)NC(=O)C(C(CC)C)NC(=O)C1N(C(=O)C(NC(=O)C(NC(=O)CNC(=O)C5N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C8N(C(=O)CNC(=O)C(NC(=O)C(NC(=O)C9N(C(=O)C(NC(=O)C(NC(=O)C(N)C)CCC(=O)N)CCC(=O)O)CCC9)C(C)C)CCCCN)CCC8)C(C)C)CO)C(O)C)CCCCN)CCC5)CO)CSSC7)CCC1)CSSC4)CCC6)CCC3)CCC2)C,1,487,-11.767141,3.3936398,-238.50664,285.203,24.749794,-75.287399,-11.767141,0,215
Fc1ccc(C=NOCC(=O)NCCOCCOCCOCCOCCOCCNC(=O)COCC(=O)NCCCCC2C(=O)NC3C(=O)NC(CCC/N=C(\N)/N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(Cc4ccccc4)C(=O)NC(C(=O)NCCOCCOCCOCCNC(=O)COCC(=O)N)CSCC(=O)N2)CSSC3)cc1,1,351,-11.446335,5.7057748,-61.012161,-42.089573,-7.217031,-74.623962,-11.446335,0,149
SCC(N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C(C)C)C(C)C)CCC(=O)O)CCCCN)CCCCN)CCC(=O)O)CCCCN)CC(C)C)CC(=O)O)CCCCN)C(C)C)C(O)C)C(CC)C)CCC(=O)O)CO)CO)C(C)C)CC(=O)O)C(C)C)C)C)CC(=O)O)CO,1,504,-11.245923,3.7806315,-160.13396,95.41275,9.7198105,-73.858292,-11.245923,0.0065383911,224
SCC(N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C(C)C)C(C)C)CCC(=O)O)CCCCN)CCCCN)CCC(=O)O)CCCCN)CC(C)C)CC(=O)O)CCCCN)C(C)C)C(O)C)C(CC)C)CCC(=O)O)CO)CO)C(C)C)CC(=O)O)C(C)C)C)C)CC(=O)O)CO,1,504,-11.221099,3.5304093,-149.85748,174.89284,13.666701,-72.095001,-11.221099,0.0065383911,224
O=C(O)C(NC(=O)C(NC(=O)C1N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C(N)CC(=O)O)CCC(=O)O)CC(=O)N)CCC2)C(C)C)C(C)C)Cc2[nH]cnc2)Cc2ccccc2)Cc2ccccc2)CCCCN)CC(=O)N)C(CC)C)C(C)C)C(O)C)CCC1)CCCNC(=N)N)C(O)C,1,472,-11.0282,4.7700548,-240.05525,8.430232,-0.74419576,-73.351738,-11.0282,0,208
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCO)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)C(C)C)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC=O)C(C)C)CC(C)C)C)C(C)C)C(C)C,1,581,-11.00276,3.6369839,67.156174,-16.945566,-4.242825,-71.280823,-11.00276,0.0038928986,261
Fc1c(CC(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(N)Cc2[nH]cnc2)(C)C)CCC(=O)O)C(O)C)(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)Cc2cnc(-c3c(C)cccc3)cc2)Cc2ccc(-c3c(CC)cc(OC)cc3)cc2)CC(=O)O)CO)C(O)C)C)cccc1,1,1,-10.79283,2.7416852,7.0114241,-27.165009,-4.8701487,-68.983063,-10.79283,0,1
S(CCC(NC(=O)C(NC(=O)C(N)CCC(=O)O)C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC1C(=O)NC(C)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)N2C(C(=O)NC3C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(Cc4[nH]cnc4)C(=O)N4C(C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc5c6c([nH]c5)cccc6)C(=O)NC(Cc5ccccc5)C(=O)NC(Cc5ccccc5)C(=O)NC(CC(=O)N)C(=O)NC(C(CC)C)C(=O)NC(Cc5ccccc5)C(=O)NC(C(O)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)N)C(=O)NC5C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc6ccccc6)C(=O)NC(C(CC)C)C(=O)NC(Cc6ccc(O)cc6)C(=O)NCC(=O)NCC(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc6ccccc6)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CC(=O)O)CCCNC(=N)N)C(O)C)CSSC1)CSSC5)CSSC3)CCC4)CCC2)Cc1ccccc1)CO)Cc1[nH]cnc1)C,1,473,-10.659565,3.6206441,-1473.0094,78.992348,3.6933482,-67.707474,-10.659565,0,209
O=C(NC(C(=O)NC(C(=O)N1C(C(=O)NC(C(=O)NC(C(=O)N2C(C(=O)O)CCC2)C(O)C)CCC/N=C(\N)/N)CCC1)C(O)C)C(C)C)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C1N(C(=O)C(NC(=O)C(N)C)CCCCN)CCC1)C(C)C)C(C)C)Cc1[nH]cnc1)CC(C)C)Cc1ccccc1)C)CC(=O)N)C(CC)C,1,347,-10.589475,5.0722075,-0.30055249,-11.580087,-3.7990279,-60.127502,-10.589475,0.00017566915,147
