mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,E_orig,Rec_index
O=C(N[C@](C(=O)N[C@]([C@@](O)[C@@](O)CC(C)C)CC1CCCCC1)Cc1nc[nH]c1)[C@@](NC(=O)CC(N)(C)C)Cc1ccc(OC)cc1,1,277,-8.0529203,2.4345386,-76.224411,-66.711517,-10.094921,-40.059193,-8.0529203,0.0065383911,1
O([C@](COCc1ccccc1)[C@@]1[C@](OCc2ccccc2)[C@@](O)C(OC)O1)Cc1ccccc1,1,22,-8.0007963,1.4840044,111.17458,-73.808823,-9.0202026,-37.574944,-8.0007963,1.4344,1
S(C(=O)C)C[C@](C(=O)N[C@](C(=O)OCc1ccccc1)C)Cc1cc2OCOc2cc1,1,72,-8.0005903,1.8648062,-15.345381,-90.596832,-9.2853308,-42.988224,-8.0005903,1.2384367,1
O=C(N[C@](C(=O)N[C@]([C@@](O)[C@@](O)CC(C)C)CC1CCCCC1)Cc1nc[nH]c1)[C@@](NC(=O)CC(N)(C)C)Cc1ccc(OC)cc1,1,277,-7.8962646,2.0093338,-73.077744,-65.777451,-10.168258,-43.424454,-7.8962646,0.0065383911,1
O=C1C(C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(\C)/C)\C)\C)\C)\C)\C)\C)=C(C)C(=O)c2c1cccc2,1,84,-7.8731909,3.6826141,13.280265,39.947998,-5.3692803,-39.9277,-7.8731909,0,1
S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)C)C(=O)C,1,299,-7.7756119,2.3501108,-175.8835,-71.028748,-9.1424322,-41.040577,-7.7756119,1.9093541,1
O=C1C(CCCC)C(O)C(C)CCC(O)CCCC(O)CCCC(O)/C(/C)=C/C(O[C@@]2[C@@](O)[C@](O)[C@@](CO)O2)C(O)CC(O)CC(O)CC(O)CC(O)CCCC/C(/C)=C/C(C)C(C(C(O)CCCNC(=N)N)C)O1,1,63,-7.7636294,3.2718565,-195.69919,-49.042042,-9.0724993,-43.861324,-7.7636294,1.7711397,1
Fc1ccc(C[C@@](C(=O)N[C@](/C=C/C(=O)OCC)C[C@]2C(=O)NCC2)CC(=O)[C@@](NC(=O)c2noc(C)c2)C(C)C)cc1,1,53,-7.7457342,1.6040099,-23.104877,-68.660538,-8.9139996,-37.328758,-7.7457342,0,1
O=C1C(CCCC)C(O)C(C)CCC(O)CCCC(O)CCCC(O)/C(/C)=C/C(O[C@@]2[C@@](O)[C@](O)[C@@](CO)O2)C(O)CC(O)CC(O)CC(O)CC(O)CCCC/C(/C)=C/C(C)C(C(C(O)CCCNC(=N)N)C)O1,1,63,-7.7448888,1.4962599,-194.36021,-60.922894,-10.364171,-40.928837,-7.7448888,0,1
O=C1C(C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(\C)/C)\C)\C)\C)\C)\C)\C)=C(C)C(=O)c2c1cccc2,1,84,-7.7437992,3.7769248,15.828658,-5.5908303,-4.594018,-36.470627,-7.7437992,0,1
Fc1c([C@]2(Cn3ncnc3)O[C@@](COc3ccc(N4CCN(c5ccc(N6C(=O)N(C(C)C)CC6)cc5)CC4)cc3)OC2)ccc(F)c1,1,128,-7.7356815,2.8310723,11.236922,-40.459667,-9.6435328,-45.608097,-7.7356815,0,1
Fc1c([C@]2(Cn3ncnc3)O[C@@](COc3ccc(N4CCN(c5ccc(N6C(=O)N(C(C)C)CC6)cc5)CC4)cc3)OC2)ccc(F)c1,1,128,-7.7182612,1.6788108,13.717675,-53.487473,-8.5287294,-46.32674,-7.7182612,0,1
S(C(=O)C)C[C@](C(=O)N[C@](C(=O)OCc1ccccc1)C)Cc1cc2OCOc2cc1,1,72,-7.7020164,1.4752814,-13.27554,-66.299934,-8.6896458,-41.334454,-7.7020164,0.099365234,1
Fc1ccc(C[C@@](C(=O)N[C@](/C=C/C(=O)OCC)C[C@]2C(=O)NCC2)CC(=O)[C@@](NC(=O)c2noc(C)c2)C(C)C)cc1,1,53,-7.6425152,1.8487196,-22.823656,-54.61808,-8.8082256,-41.390579,-7.6425152,0,1
S(=O)(=O)(N)c1ccc(Nc2nc(O)c(NC(=O)N[C@@](C(=O)N[C@@]3C(=O)N4[C@@](C(=O)O)C(C)(C)S[C@]34)c3ccc(O)cc3)cn2)cc1,1,105,-7.610671,2.367866,-174.45995,-101.94275,-11.794011,-41.635845,-7.610671,0.22631836,1
O=C1C(CCCC)C(O)C(C)CCC(O)CCCC(O)CCCC(O)/C(/C)=C/C(O[C@@]2[C@@](O)[C@](O)[C@@](CO)O2)C(O)CC(O)CC(O)CC(O)CC(O)CCCC/C(/C)=C/C(C)C(C(C(O)CCCNC(=N)N)C)O1,1,63,-7.6102767,2.5410788,-191.87489,-63.652737,-8.2663345,-43.791065,-7.6102767,1.7711397,1
S(=O)(=O)(N)c1ccc(Nc2nc(O)c(NC(=O)N[C@@](C(=O)N[C@@]3C(=O)N4[C@@](C(=O)O)C(C)(C)S[C@]34)c3ccc(O)cc3)cn2)cc1,1,105,-7.5881004,1.5711298,-175.92447,-90.34095,-11.147069,-41.309227,-7.5881004,0.7743119,1
S(CC(O)(CCCCC)C)[C@@]1[C@@](CCCCCCC(=O)Oc2ccc(NC(=O)c3ccccc3)cc2)C(=O)C[C@]1O,1,208,-7.5772672,3.9771941,-2.8609982,-32.716248,-8.721982,-39.865143,-7.5772672,0.72483796,1
BrC[C@]1c2c3c(C(=O)OC)c(C)[nH]c3c(OC(=O)N3CCN(C)CC3)cc2N(C(=O)c2[nH]c3c(OC)c(OC)c(OC)cc3c2)C1,1,147,-7.5767856,2.2420731,135.47618,-78.748528,-8.7391443,-43.552254,-7.5767856,2.9008548,1
Fc1ccc(C[C@@](C(=O)N[C@](/C=C/C(=O)OCC)C[C@]2C(=O)NCC2)CC(=O)[C@@](NC(=O)c2noc(C)c2)C(C)C)cc1,1,53,-7.5493355,1.2625995,-29.570478,-90.351952,-9.1833735,-42.298073,-7.5493355,0.1663914,1
O=C(O)CC/C=C\CC[C@@]1[C@@](N2CCCCC2)[C@@](O)C[C@@]1OCc1ccc(-c2ccccc2)cc1,1,36,-7.547812,2.743248,-0.66208941,-44.433701,-8.1761274,-37.728832,-7.547812,1.0030518,1
S(=O)(=O)(N)c1ccc(Nc2nc(O)c(NC(=O)N[C@@](C(=O)N[C@@]3C(=O)N4[C@@](C(=O)O)C(C)(C)S[C@]34)c3ccc(O)cc3)cn2)cc1,1,105,-7.54074,2.2902808,-179.38156,-99.263252,-12.752752,-40.634724,-7.54074,0.22631836,1
BrC[C@]1c2c3c(C(=O)OC)c(C)[nH]c3c(OC(=O)N3CCN(C)CC3)cc2N(C(=O)c2[nH]c3c(OC)c(OC)c(OC)cc3c2)C1,1,147,-7.5292649,2.5605187,137.83881,-43.33609,-8.9743843,-40.079998,-7.5292649,2.9612019,1
Fc1c([C@]2(Cn3ncnc3)O[C@@](COc3ccc(N4CCN(c5ccc(N6C(=O)N(C(C)C)CC6)cc5)CC4)cc3)OC2)ccc(F)c1,1,128,-7.5026393,3.6406946,11.743255,-103.25774,-8.6059093,-39.424038,-7.5026393,0,1
S(CC(O)(CCCCC)C)[C@@]1[C@@](CCCCCCC(=O)Oc2ccc(NC(=O)c3ccccc3)cc2)C(=O)C[C@]1O,1,208,-7.4875708,2.8126726,-1.7111082,-97.471893,-9.4142647,-42.642921,-7.4875708,1.0930176,1
S(=O)(=O)(N)c1ccc(Nc2nc(O)c(NC(=O)N[C@@](C(=O)N[C@@]3C(=O)N4[C@@](C(=O)O)C(C)(C)S[C@]34)c3ccc(O)cc3)cn2)cc1,1,105,-7.4823093,2.004499,-180.93141,-88.751175,-10.743799,-40.567909,-7.4823093,0.22631836,1
O([C@](COCc1ccccc1)[C@@]1[C@](OCc2ccccc2)[C@@](O)C(OC)O1)Cc1ccccc1,1,22,-7.4789495,2.3053937,110.09718,-61.034294,-9.3138151,-37.130146,-7.4789495,1.0289251,1
O=C1C(C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(\C)/C)\C)\C)\C)\C)\C)\C)=C(C)C(=O)c2c1cccc2,1,84,-7.4660239,2.9270194,15.06658,54.197208,-5.0843825,-37.306187,-7.4660239,0,1
Fc1c([C@]2(Cn3ncnc3)O[C@@](COc3ccc(N4CCN(c5ccc(N6C(=O)N(C(C)C)CC6)cc5)CC4)cc3)OC2)ccc(F)c1,1,128,-7.4569778,1.0586101,14.700354,-42.898884,-8.6730232,-36.988323,-7.4569778,0,1
O=C1C(CCCC)C(O)C(C)CCC(O)CCCC(O)CCCC(O)/C(/C)=C/C(O[C@@]2[C@@](O)[C@](O)[C@@](CO)O2)C(O)CC(O)CC(O)CC(O)CC(O)CCCC/C(/C)=C/C(C)C(C(C(O)CCCNC(=N)N)C)O1,1,63,-7.447042,1.8171223,-201.60924,-73.221542,-8.2122231,-40.494961,-7.447042,3.5659065,1
Fc1c([C@]2(Cn3ncnc3)O[C@@](COc3ccc(N4CCN(c5ccc(N6C(=O)N(C(C)C)CC6)cc5)CC4)cc3)OC2)ccc(F)c1,1,128,-7.4007006,4.6972823,12.37243,-67.449036,-8.676424,-43.962551,-7.4007006,0,1
S(=O)(=O)(Nc1ccc(NC(=O)C(COC(=O)CN)(C)C)cc1)c1c2c(c(N(C)C)ccc2)ccc1,1,292,-7.3968921,1.3630974,25.336699,-80.960495,-10.004299,-35.863148,-7.3968921,0.62238836,1
BrC[C@]1c2c3c(C(=O)OC)c(C)[nH]c3c(OC(=O)N3CCN(C)CC3)cc2N(C(=O)c2[nH]c3c(OC)c(OC)c(OC)cc3c2)C1,1,147,-7.3932109,2.3996489,137.02046,-70.053505,-9.4031229,-45.982513,-7.3932109,0.83249533,1
O=C(O[C@](COC(=O)c1c(O)cccc1)[C@@]1[C@](OCCC)[C@@](O)C(OCC)O1)c1c(O)cccc1,1,99,-7.3801079,1.1991057,87.148933,-52.706272,-8.7793655,-38.399418,-7.3801079,3.2996345,1
S(CC(O)(CCCCC)C)[C@@]1[C@@](CCCCCCC(=O)Oc2ccc(NC(=O)c3ccccc3)cc2)C(=O)C[C@]1O,1,208,-7.3783736,3.1229591,1.6222312,-38.190662,-9.9596958,-38.621834,-7.3783736,0.76316023,1
O=C(/C=C/c1cc(OC)c(OC)c(OC)c1)N1CCN(CC(O)COc2c3OCCOc3c(C(=O)C)cc2)CC1,1,199,-7.3767066,2.568186,98.67675,-50.62027,-8.9349728,-42.428886,-7.3767066,1.8803362,1
O([C@](COCc1ccccc1)[C@@]1[C@](OCc2ccccc2)[C@@](O)C(OC)O1)Cc1ccccc1,1,22,-7.3562531,2.0453475,112.4578,-83.833748,-9.3294954,-36.210838,-7.3562531,0,1
S(C(=O)C)C[C@](C(=O)N[C@](C(=O)OCc1ccccc1)C)Cc1cc2OCOc2cc1,1,72,-7.3561707,1.6189744,-19.81736,-75.423882,-8.5688105,-36.111782,-7.3561707,0.97112274,1
S(CC(O)(CCCCC)C)[C@@]1[C@@](CCCCCCC(=O)Oc2ccc(NC(=O)c3ccccc3)cc2)C(=O)C[C@]1O,1,208,-7.3421197,3.2253275,0.56426769,-47.28603,-9.0694656,-38.161896,-7.3421197,1.0948056,1
S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)C)C(=O)C,1,299,-7.3373375,1.4345764,-177.27734,-67.336647,-8.2015781,-39.067799,-7.3373375,0,1
O([C@](COCc1ccccc1)[C@@]1[C@](OCc2ccccc2)[C@@](O)C(OC)O1)Cc1ccccc1,1,22,-7.3176551,2.1212864,108.40585,-55.678444,-9.2054434,-40.938839,-7.3176551,2.0362906,1
O=C1C(C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(\C)/C)\C)\C)\C)\C)\C)\C)=C(C)C(=O)c2c1cccc2,1,84,-7.3173075,2.1229105,16.492828,29.59157,-4.3957829,-34.5495,-7.3173075,0,1
O=C(N[C@@](C(=O)N)CCC(=O)O)[C@@](NC(=O)CO[C@]1[C@](O)[C@@](CO)OC(O)[C@@]1NC(=O)C)C,1,33,-7.3089752,2.1894381,-38.223213,-68.732216,-8.3384924,-38.505257,-7.3089752,0,1
O=C(O[C@](COC(=O)c1c(O)cccc1)[C@@]1[C@](OCCC)[C@@](O)C(OCC)O1)c1c(O)cccc1,1,99,-7.3025951,1.5597885,87.671791,-73.028786,-9.7058945,-36.250179,-7.3025951,3.2996345,1
Fc1ccc(C[C@@](C(=O)N[C@](/C=C/C(=O)OCC)C[C@]2C(=O)NCC2)CC(=O)[C@@](NC(=O)c2noc(C)c2)C(C)C)cc1,1,53,-7.2883477,2.2960844,-26.8925,-54.569923,-8.0513659,-39.525822,-7.2883477,0.1663914,1
Clc1c(Cl)ccc(C(=O)NC(C(=O)N(CCCCC)CCCCC)CCC(=O)O)c1,1,183,-7.2866049,1.5135108,7.3279161,-54.21452,-8.0303402,-23.633947,-7.2866049,1.1927794,1
Fc1ccc(C[C@@](C(=O)N[C@](/C=C/C(=O)OCC)C[C@]2C(=O)NCC2)CC(=O)[C@@](NC(=O)c2noc(C)c2)C(C)C)cc1,1,53,-7.2856412,2.5839925,-25.260256,-59.21384,-7.9792714,-43.287804,-7.2856412,0,1
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)[C@](/N=C/c1occc1)c1ccc(O)cc1,1,220,-7.2533321,1.4452919,107.80038,-73.779091,-9.6204195,-33.685074,-7.2533321,2.8008988,1
Fc1ccc(C(O)(c2ccc(F)cc2)C2CCN(CCCOc3c(OC)cc4c(OC(=O)C=C4)c3)CC2)cc1,1,130,-7.2495217,2.8267853,46.524025,-82.786407,-9.4823837,-40.83876,-7.2495217,3.1737192,1
S(C(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C)C)c1cc(C(C)(C)C)c(OCC(=O)O)c(C(C)(C)C)c1,1,103,-7.2484655,2.5634639,-108.7532,-57.559132,-9.4645233,-37.240265,-7.2484655,2.428117,1
S(=O)(=O)(O)CCN(C(=O)CCCCCCC(=O)OCC(=O)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C([C@@](C)C3)=CC(=O)C=C4)[C@@](O)C2)CC1)C,1,71,-7.2440996,2.3640404,11.145326,-60.618347,-9.7866287,-44.026302,-7.2440996,2.0752578,1
O=C1C(C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(\C)/C)\C)\C)\C)\C)\C)\C)=C(C)C(=O)c2c1cccc2,1,84,-7.242559,1.9570583,17.857466,16.686541,-5.4249358,-30.231037,-7.242559,0,1
O=C(NCC(=O)N[C@](C(=O)N[C@]1C(=O)SCC1)Cc1ccccc1)[C@](NC(=O)[C@@](N)Cc1ccc(O)cc1)CCCCNC=O,1,218,-7.2391224,2.4169786,11.011019,-47.845497,-7.7147903,-36.153385,-7.2391224,0,1
S(C(=O)C)C[C@](C(=O)N[C@](C(=O)OCc1ccccc1)C)Cc1cc2OCOc2cc1,1,72,-7.2296071,1.701795,-21.332998,-51.303215,-8.2790575,-36.10471,-7.2296071,0.9529416,1
S(C(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C)C)c1cc(C(C)(C)C)c(OCC(=O)O)c(C(C)(C)C)c1,1,103,-7.2272735,2.371649,-110.67247,-44.357418,-9.8043213,-38.165749,-7.2272735,3.1818337,1
S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)C)C(=O)C,1,299,-7.220356,2.7826223,-174.20268,-62.800999,-9.1935673,-36.27412,-7.220356,3.7576499,1
S(CC(O)(CCCCC)C)[C@@]1[C@@](CCCCCCC(=O)Oc2ccc(NC(=O)c3ccccc3)cc2)C(=O)C[C@]1O,1,208,-7.2109213,1.8838286,2.1905448,-63.985359,-9.2447968,-38.484898,-7.2109213,0.76316023,1
O=C(N[C@@](C(=O)N)CCC(=O)O)[C@@](NC(=O)CO[C@]1[C@](O)[C@@](CO)OC(O)[C@@]1NC(=O)C)C,1,33,-7.1957822,2.1725624,-42.665676,-50.273472,-8.3133841,-38.427586,-7.1957822,3.861928,1
BrC[C@]1c2c3c(C(=O)OC)c(C)[nH]c3c(OC(=O)N3CCN(C)CC3)cc2N(C(=O)c2[nH]c3c(OC)c(OC)c(OC)cc3c2)C1,1,147,-7.1949925,2.3992386,155.63156,-40.285259,-8.9921894,-30.990288,-7.1949925,0.97396314,1
BrC[C@]1c2c3c(C(=O)OC)c(C)[nH]c3c(OC(=O)N3CCN(C)CC3)cc2N(C(=O)c2[nH]c3c(OC)c(OC)c(OC)cc3c2)C1,1,147,-7.1785798,1.686202,145.01834,-60.405235,-9.4289322,-38.160942,-7.1785798,1.6058648,1
S(C(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C)C)c1cc(C(C)(C)C)c(OCC(=O)O)c(C(C)(C)C)c1,1,103,-7.1697192,1.2886616,-105.94054,-67.409462,-9.8370275,-38.003548,-7.1697192,3.5953889,1
N(CCCCCCCCCCNc1c2c(nc(C)c1)cccc2)c1c2c(nc(C)c1)cccc2,1,257,-7.1666398,2.5957019,-24.655357,-69.555458,-10.863189,-36.90868,-7.1666398,1.5244141,1
O=C(N(c1nccnc1)C1CCN(CCc2ccccc2)CC1)c1occc1,1,185,-7.1561255,0.92306262,62.214806,-82.705498,-10.060493,-37.218185,-7.1561255,3.2178276,1
S(=O)(=O)(O)CCN(C(=O)CCCCCCC(=O)OCC(=O)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C([C@@](C)C3)=CC(=O)C=C4)[C@@](O)C2)CC1)C,1,71,-7.1484613,3.0244682,12.626421,-34.525448,-10.539687,-37.405411,-7.1484613,1.3562355,1
S(CC1=C(C(=O)O)N2C(=O)[C@@](NC(=O)[C@](N)c3ccc(O)cc3)[C@]2SC1)c1sc(C)nn1,1,11,-7.1446748,1.4856738,41.824051,-67.885132,-10.749567,-40.168827,-7.1446748,3.7518561,1
O=C(O)CCC/C=C\C[C@@]1[C@@](/C=C/C2(COc3ccccc3)OCCO2)[C@](O)C[C@@]1O,1,48,-7.1435862,1.767737,-3.9081824,-68.495049,-8.9830294,-39.694344,-7.1435862,1.955196,1
N(CCCCCCCCCCNc1c2c(nc(C)c1)cccc2)c1c2c(nc(C)c1)cccc2,1,257,-7.1428928,3.5003273,-26.296215,-57.689041,-9.0797548,-38.918903,-7.1428928,1.5698242,1
O=C(NCC(=O)N[C@](C(=O)N[C@]1C(=O)SCC1)Cc1ccccc1)[C@](NC(=O)[C@@](N)Cc1ccc(O)cc1)CCCCNC=O,1,218,-7.1374402,1.8373169,11.017657,-74.861046,-10.527504,-34.35857,-7.1374402,0,1
S(CC(O)CN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ncnc2[nH]cnc12,1,87,-7.129189,1.8200172,154.62334,-67.685379,-10.405062,-30.534393,-7.129189,0.064819336,1
Clc1c(Cl)ccc(C(=O)NC(C(=O)N(CCCCC)CCCCC)CCC(=O)O)c1,1,183,-7.1246133,1.1163468,-8.5733881,-61.331741,-8.0194473,-34.687393,-7.1246133,1.0882983,1
O=C(O)CC/C=C\CC[C@@]1[C@@](N2CCCCC2)[C@@](O)C[C@@]1OCc1ccc(-c2ccccc2)cc1,1,36,-7.1225886,1.453837,1.1184654,-77.097198,-8.3785715,-36.223515,-7.1225886,0.91462761,1
S(CC(O)CN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ncnc2[nH]cnc12,1,87,-7.1199331,1.1773472,152.00511,-81.223,-10.103327,-31.719177,-7.1199331,0.064819336,1
O(C)c1c(OC)ccc(CCN(CCCN2C(=O)Cc3c(cc(OC)c(OC)c3)CC2)C)c1,1,41,-7.1163707,1.2635248,27.444742,-80.933205,-9.0601034,-36.829384,-7.1163707,0.60302734,1
S(=O)(=O)(O)CCN(C(=O)CCCCCCC(=O)OCC(=O)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C([C@@](C)C3)=CC(=O)C=C4)[C@@](O)C2)CC1)C,1,71,-7.1147513,2.7236135,9.438982,-37.325191,-8.9596128,-41.36298,-7.1147513,1.1734439,1
