,Molecule ChEMBL ID,Smiles,Standard Value
0,CHEMBL3657004,COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)[C@@H](c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,7.151810883008602
1,CHEMBL3657113,COC[C@@H](C)n1c(-c2cnc(N)nc2OC)nc2c1C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,9.430626090384955
2,CHEMBL3657092,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)c(F)c2)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1,9.598599459218455
3,CHEMBL3653169,COc1ccc(C(=O)NC(C)C)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.823908740944319
4,CHEMBL3657038,COc1ccc(C(=O)NC(C)C)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.096910013008056
5,CHEMBL3653210,[C-]#[N+]c1ccc(C2c3c(nc(-c4cnc(NC)nc4OC)n3C(C)C)C(=O)N2c2cccc(Cl)c2F)cc1,9.508638306165727
6,CHEMBL3653191,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.795880017344075
7,CHEMBL3657051,COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1)N(c1ccc(F)c(Cl)c1)C2=O,8.920818753952375
8,CHEMBL3653278,COC(=O)N1CCC(N2C(=O)c3nc(-c4cnc(OC)nc4OC)n(C(C)C)c3C2c2ccc(Cl)cc2)CC1,8.30189945437661
9,CHEMBL3657089,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)c(F)c1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,9.931814138253838
10,CHEMBL3653219,COc1cc(CN)ccc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,9.769551078621726
11,CHEMBL3657096,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)c(=O)n(C(F)F)c2)C3=O)c(OC)n1,9.402304814074487
12,CHEMBL3653170,COc1ccc(C(=O)N2CCOCC2)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.744727494896694
13,CHEMBL3656976,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)cnc1O)C2=O,9.853871964321762
14,CHEMBL3653182,COc1cc(C#N)ccc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,9.537602002101044
15,CHEMBL3653270,CCOC(=O)C1(c2ccc(Cl)cc2C)c2c(nc(-c3cnc(OC)nc3OC)n2C(C)C)C(=O)N1c1cc(Cl)ccc1C,8.638272163982407
16,CHEMBL3656996,COc1ncc(-c2nc3c(n2C2CC2)C(c2ccc(Cl)cc2)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,8.87942606879415
17,CHEMBL3657079,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)c(F)c1)N(c1cc(Cl)cn(C)c1=O)C2=O,9.455931955649724
18,CHEMBL3657116,COc1ncc(-c2nc3c(n2[C@H](C)CO)[C@H](c2ccc(Cl)cc2)N(c2cccc(Cl)c2F)C3=O)c(OC)n1,9.97061622231479
19,CHEMBL3657042,COCCn1cc(N2C(=O)c3nc(-c4ccccc4OC)n(C(C)C)c3C2c2ccc(Cl)cc2C)cc(Cl)c1=O,9.2518119729938
20,CHEMBL3653287,COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1)N(c1cccc(Cl)c1F)C2=O,9.161150909262744
21,CHEMBL3657059,COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,9.886056647693163
22,CHEMBL3657000,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,9.443697499232712
23,CHEMBL3653281,COc1nc(N)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(C1CN(C)C(=O)N(C)C1)C2=O,8.421360790031928
24,CHEMBL3657056,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cn1)N(c1cc(Cl)ccc1C)C2=O,9.913640169325252
25,CHEMBL3657106,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1c(F)c(C)nn1C)C2=O,9.6903698325741
26,CHEMBL3653187,CNc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,9.721246399047171
27,CHEMBL3657063,COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(C#N)cc1)N(c1cccc(Cl)c1F)C2=O,9.568636235841012
28,CHEMBL3653280,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cnc(O)c(Cl)c1)C2=O,9.853871964321762
29,CHEMBL3657121,COC[C@@H](C)n1c(-c2cnc(N(C)C)nc2OC)nc2c1C(c1ccc(Cl)cc1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,9.84163750790475
30,CHEMBL3653266,COc1cnc(N(C)CCO)nc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,9.2518119729938
31,CHEMBL3657124,COC[C@@H](C)n1c(-c2cnc(N(C)C)nc2OC)nc2c1[C@H](c1ccc(Cl)cc1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,10.229147988357855
32,CHEMBL3657109,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2c(F)c(C4CC4)nn2C)C3=O)c(OC)n1,8.752026733638193
33,CHEMBL3656993,CNc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)c[nH]c2=O)C3=O)c(OC)n1,9.721246399047171
34,CHEMBL3656997,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(C#N)cc2C)N(c2cccc(Cl)c2F)C3=O)c(OC)n1,9.744727494896694
35,CHEMBL3657031,COc1ccc(C(=O)NCCO)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.301029995663981
36,CHEMBL3657009,COc1ccc(C#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,9.769551078621726
37,CHEMBL3653230,COc1cc(C(=O)N(C)C)ccc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.468521082957745
38,CHEMBL3657052,COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,9.387216143280265
39,CHEMBL3657107,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1,9.906578314837764
40,CHEMBL3657055,COc1nn(C)c(=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,7.667561540084395
41,CHEMBL3657101,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)cnc2OC)C3=O)c(OC)n1,9.614393726401687
42,CHEMBL3657108,COc1ncc(-c2nc3c(n2C(C)C)[C@@H](c2ccc(Cl)cc2)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1,6.9019449603307566
43,CHEMBL3653209,[C-]#[N+]c1ccc(C2c3c(nc(-c4cnc(N)nc4OC)n3C(C)C)C(=O)N2c2cccc(Cl)c2F)cc1,8.987162775294827
44,CHEMBL3653308,COC[C@H](C)n1c(-c2cnc(OC)nc2OC)nc2c1C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,8.896196279044043
46,CHEMBL3657057,CNc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(C#N)c(F)c2)N(c2cccc(Cl)c2F)C3=O)c(OC)n1,9.823908740944319
47,CHEMBL3653188,COc1ccc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,9.721246399047171
48,CHEMBL3653185,COc1ccc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2C)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,9.657577319177793
49,CHEMBL3653164,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2C)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,9.769551078621726
50,CHEMBL3657006,COc1ccccc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.568636235841012
51,CHEMBL3656988,COc1cnc(N(C)C)nc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,9.958607314841775
52,CHEMBL3653251,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2ccc(C(N)=O)cc2C)C3=O)c(OC)n1,8.882728704344236
53,CHEMBL3653294,COc1nc(N)ncc1-c1nc2c(n1C(C)C)[C@H](c1ccc(C#N)cc1)N(c1cccc(Cl)c1F)C2=O,9.443697499232712
54,CHEMBL3653174,COc1ccc(CO)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.853871964321762
55,CHEMBL3653193,COc1nc(N)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,9.568636235841012
56,CHEMBL3657054,COc1cn(C)c(=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(C)nc(C)n1)C2=O,6.846185135655471
57,CHEMBL3653201,[C-]#[N+]c1ccc(C2c3c(nc(-c4cnc(N)nc4OC)n3C(C)C)C(=O)N2c2cc(Cl)c(=O)n(C)c2)cc1,8.530177984021837
58,CHEMBL3653240,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(C2CCC(=O)N(C)C2)C3=O)c(OC)n1,8.812479279163536
59,CHEMBL3657103,COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1F)N(c1cccc(Cl)c1F)C2=O,9.453457336521868
60,CHEMBL3657070,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(C)ccc2OC)C3=O)c(OC)n1,9.200659450546418
61,CHEMBL3656984,COc1ncc(-c2nc3c(n2C(C)C)[C@@H](c2ccc(C#N)cc2)N(c2cccc(Cl)c2F)C3=O)c(OC)n1,6.668977828958171
62,CHEMBL3653218,COc1nc(N2CC(O)C2)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.67778070526608
63,CHEMBL3657018,COc1nc(N)ncc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,9.167491087293763
64,CHEMBL3657053,COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.568636235841012
65,CHEMBL3653177,COc1cc(CO)ccc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,9.920818753952375
66,CHEMBL3657060,COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)[C@@H](c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,8.356547323513812
67,CHEMBL3653277,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,8.63264407897398
68,CHEMBL3653305,COc1ncc(-c2nc3c(n2C(C)C)C(C)(c2ccc(Cl)cc2C)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,9.42021640338319
69,CHEMBL3657015,COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,9.537602002101044
70,CHEMBL3657001,COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1C)N(c1cc(Cl)ccc1C)C2=O,9.568636235841012
