mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
S(=O)(=O)(N(CC(O)CN1C2CC(NC(=O)C=3C(=O)N(C(C)C)c4c(cccc4)C=3)CC1CC2)C)C,1,1,-7.2625351,1.1782008,-56.550789,-89.459953,-9.5881586,-37.978539,-7.2625351,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,0.78320313,1
S(=O)(=O)(N(CC(O)CN1C2CC(NC(=O)C=3C(=O)N(C(C)C)c4c(cccc4)C=3)CC1CC2)C)C,1,1,-7.1796417,1.7121488,-53.786903,-92.50856,-9.9826756,-36.727779,-7.1796417,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,1.3671875,1
S(=O)(=O)(N(CC(O)CN1C2CC(NC(=O)C=3C(=O)N(C(C)C)c4c(cccc4)C=3)CC1CC2)C)C,1,1,-7.16609,2.2001688,-55.023537,-85.284302,-10.628685,-39.793682,-7.16609,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,0,1
S(=O)(=O)(N(CC(O)CN1C2CC(NC(=O)C=3C(=O)N(C(C)C)c4c(cccc4)C=3)CC1CC2)C)C,1,1,-7.1183825,1.5909898,-52.206894,-85.268852,-9.732954,-38.29731,-7.1183825,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,0.35449219,1
S(=O)(=O)(N(CC(O)CN1C2CC(NC(=O)C=3C(=O)N(C(C)C)c4c(cccc4)C=3)CC1CC2)C)C,1,1,-7.0446529,1.5453053,-57.408829,-79.248238,-10.831039,-34.694244,-7.0446529,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,1.3671875,1
Fc1cc2c([nH]c3C4(OCCc23)CCC(N(C)C)(c2ccccc2)CC4)cc1,1,2,-6.0421734,1.4671482,42.671001,-76.527924,-9.8221521,-26.80233,-6.0421734,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,2.4861665,1
Fc1cc2c([nH]c3C4(OCCc23)CCC(N(C)C)(c2ccccc2)CC4)cc1,1,2,-5.9757133,2.0587087,45.33762,-74.799911,-9.2855263,-25.117575,-5.9757133,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,3.013793,1
Fc1cc2c([nH]c3C4(OCCc23)CCC(N(C)C)(c2ccccc2)CC4)cc1,1,2,-5.7307153,1.6186388,41.313911,-66.181381,-9.3350401,-27.960733,-5.7307153,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,0,1
Fc1cc2c([nH]c3C4(OCCc23)CCC(N(C)C)(c2ccccc2)CC4)cc1,1,2,-5.6676059,1.5065585,38.115582,-64.645813,-9.2615681,-24.823135,-5.6676059,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,2.8817129,1
Fc1cc2c([nH]c3C4(OCCc23)CCC(N(C)C)(c2ccccc2)CC4)cc1,1,2,-5.5226269,2.7632041,44.771587,-54.620743,-9.0978031,-25.537107,-5.5226269,$HOME/My Research/MDM2/sdf for docking/smiles_data16.sdf,2.8817129,1
