mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,E_orig,Rec_index
O=C(OC[C@](OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)[C@@](NC(=O)CC[C@@](NC(=O)[C@@](NC(=O)[C@](O[C@@]([C@](O[C@]1[C@](NC(=O)C)[C@@](O)[C@](O)[C@@](CO)O1)[C@](O)CO)[C@@](NC(=O)C)C=O)C)C)C(=O)N)C,1,80,-9.4242411,1.941281,23.728373,-18.224211,-5.2702894,-52.219387,-9.4242411,0,1
S(=O)(=O)(Nc1c(OC)c(NC(=O)Nc2c3c(c(Oc4nc(Nc5cc(C(=O)NCCOCCOCCOC)cc(C#C)c5)ncc4)cc2)cccc3)cc(C(C)(C)C)c1)C,1,210,-8.9099979,4.5298033,-215.02736,-14.756491,-9.6255846,-53.725941,-8.9099979,0.00012647259,1
O=C(N)CC[C@]1C(=O)N[C@@](CCCCN)C(=O)N2[C@@](C(=O)N3[C@](C(=O)N[C@@](Cc4ccc(O)cc4)C(=O)N[C@@](Cc4nc[nH]c4)C(=O)N[C@@](C)C(=O)N[C@@]4C(=O)N[C@@](CO)C(=O)N[C@@](C)C(=O)N5[C@@](C(=O)N[C@@](CCN)C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@](Cc6ccc(O)cc6)C(=O)N[C@](C(=O)N[C@@](Cc6ccc(O)cc6)C(=O)N1)CSSC4)CCC5)CCC3)CCC2,1,16,-8.8535042,3.0493727,-130.10873,-22.439806,-6.7335558,-47.506283,-8.8535042,0,1
S(=O)(=O)(Nc1c(OC)c(NC(=O)Nc2c3c(c(Oc4nc(Nc5cc(C(=O)NCCOCCOCCOC)cc(C#C)c5)ncc4)cc2)cccc3)cc(C(C)(C)C)c1)C,1,210,-8.820097,2.4223108,-213.83916,-48.684845,-8.8218679,-56.210899,-8.820097,1.247815,1
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)C)CO)[C@](O)C)[C@](O)C)[C@](O)C)CC(=O)N)Cc1ccc(O)cc1)[C@](O)C,1,325,-8.8076916,2.566761,-5.5181818,-62.645645,-10.221272,-48.537716,-8.8076916,0.013076782,1
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,1,256,-8.8035946,4.1955309,112.19291,-60.822353,-8.0399227,-51.742416,-8.8035946,0.10627247,1
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)C)CO)[C@](O)C)[C@](O)C)[C@](O)C)CC(=O)N)Cc1ccc(O)cc1)[C@](O)C,1,325,-8.7193823,1.9786156,0.8115344,-49.474857,-10.684026,-48.193909,-8.7193823,0.15541077,1
O=C(N)CC[C@]1C(=O)N[C@@](CCCCN)C(=O)N2[C@@](C(=O)N3[C@](C(=O)N[C@@](Cc4ccc(O)cc4)C(=O)N[C@@](Cc4nc[nH]c4)C(=O)N[C@@](C)C(=O)N[C@@]4C(=O)N[C@@](CO)C(=O)N[C@@](C)C(=O)N5[C@@](C(=O)N[C@@](CCN)C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@](Cc6ccc(O)cc6)C(=O)N[C@](C(=O)N[C@@](Cc6ccc(O)cc6)C(=O)N1)CSSC4)CCC5)CCC3)CCC2,1,16,-8.7077026,2.3397822,-127.01632,3.1587489,-7.3596296,-45.339031,-8.7077026,0,1
O=C(OC[C@](OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)[C@@](NC(=O)CC[C@@](NC(=O)[C@@](NC(=O)[C@](O[C@@]([C@](O[C@]1[C@](NC(=O)C)[C@@](O)[C@](O)[C@@](CO)O1)[C@](O)CO)[C@@](NC(=O)C)C=O)C)C)C(=O)N)C,1,80,-8.6552696,2.4177713,10.904853,-43.588303,-4.9980531,-48.383015,-8.6552696,0,1
O=C(OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)C)CCCCCCC/C=C\C/C=C\CCCCC,1,26,-8.6445284,2.6247163,-0.10124815,-41.800171,-6.7552829,-47.925426,-8.6445284,0.24084473,1
