mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
O=C1C=C2C(=C3C=CC4(C)C(O)CCC4C3CC2)CC1,1,3,-5.4713063,1.070552,4.5449891,-63.684551,-7.9112487,-25.184269,-5.4713063,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,3.1220245,1
O=C1C=C2C(=C3C=CC4(C)C(O)CCC4C3CC2)CC1,1,3,-5.2893562,1.678031,2.9813983,-60.699154,-7.7905135,-24.182327,-5.2893562,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,1.9338909,1
O=C1C=C2C(=C3C=CC4(C)C(O)CCC4C3CC2)CC1,1,3,-5.2891507,1.3340683,6.8041654,-62.447281,-7.6754031,-24.542465,-5.2891507,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,2.3574123,1
O=C1C=C2C(=C3C=CC4(C)C(O)CCC4C3CC2)CC1,1,3,-5.2089777,1.219993,2.047262,-60.382572,-7.8860722,-22.069223,-5.2089777,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,1.0274642,1
O=C1C=C2C(=C3C=CC4(C)C(O)CCC4C3CC2)CC1,1,3,-5.1196017,1.715017,1.769981,-58.560234,-7.9404078,-24.850336,-5.1196017,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0.50498635,1
[Hg](Cl)CC(OC)CNC(=O)N,1,5,-4.7770128,2.327132,-131.81792,-39.730732,-6.2775512,-23.425484,-4.7770128,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,2.2229924,1
[Hg](Cl)CC(OC)CNC(=O)N,1,5,-4.6766057,1.9805551,-129.82283,-40.657635,-6.1046262,-18.825514,-4.6766057,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,1.2509496,1
[Hg](Cl)CC(OC)CNC(=O)N,1,5,-4.5477443,2.0955379,-132.69385,-40.903637,-6.005909,-20.595192,-4.5477443,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,3.1309085,1
[Hg](Cl)CC(OC)CNC(=O)N,1,5,-4.4628043,1.7504326,-133.07944,-53.592907,-6.163198,-19.324318,-4.4628043,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,2.3905981,1
[Hg](Cl)CC(OC)CNC(=O)N,1,5,-4.4485989,1.6350381,-131.83191,-43.300762,-6.2705402,-20.013308,-4.4485989,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,2.8114474,1
OC1(C)C2(C)C(C3C(C4(C)C(Cc5[nH]ncc5C4)CC3)CC2)CC1,1,6,-5.7099195,1.1943203,51.338097,-61.768463,-8.7287216,-26.050369,-5.7099195,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,3.9895194,1
OC1(C)C2(C)C(C3C(C4(C)C(Cc5[nH]ncc5C4)CC3)CC2)CC1,1,6,-5.6816955,1.0411454,53.601276,-82.444984,-9.8703394,-23.54233,-5.6816955,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
OC1(C)C2(C)C(C3C(C4(C)C(Cc5[nH]ncc5C4)CC3)CC2)CC1,1,6,-5.6755214,2.1260142,56.168968,-61.501469,-9.39534,-25.115612,-5.6755214,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,3.419081,1
OC1(C)C2(C)C(C3C(C4(C)C(Cc5[nH]ncc5C4)CC3)CC2)CC1,1,6,-5.6541939,2.037318,50.318081,-59.201942,-9.774725,-25.89975,-5.6541939,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,3.9895194,1
OC1(C)C2(C)C(C3C(C4(C)C(Cc5[nH]ncc5C4)CC3)CC2)CC1,1,6,-5.5305595,1.6760324,52.079975,-71.010155,-8.7927275,-23.253925,-5.5305595,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
S(CCC(N)C(=O)O)CC,1,7,-4.7978029,1.1276861,12.126729,-45.651005,-7.7652497,-18.439093,-4.7978029,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0.30493164,1
S(CCC(N)C(=O)O)CC,1,7,-4.6415467,0.89798766,10.551339,-50.279667,-7.5893812,-14.797889,-4.6415467,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0.63574219,1
S(CCC(N)C(=O)O)CC,1,7,-4.6400027,1.1403625,10.658321,-43.398289,-7.6987081,-14.392885,-4.6400027,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,3.4238281,1
S(CCC(N)C(=O)O)CC,1,7,-4.6137228,2.557029,10.838828,-48.903999,-7.4777093,-19.465811,-4.6137228,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0.64789581,1
S(CCC(N)C(=O)O)CC,1,7,-4.5809021,0.79787397,11.31881,-45.534912,-7.6701236,-18.2174,-4.5809021,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0.63574219,1
ClC(Cl)C(=O)[O-],1,8,-3.6486671,1.6042467,-5.514606,-17.699968,-5.7538047,-8.7248459,-3.6486671,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
ClC(Cl)C(=O)[O-],1,8,-3.5134518,5.1246133,-5.8708014,-20.024612,-5.4915972,-10.056389,-3.5134518,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
ClC(Cl)C(=O)[O-],1,8,-3.504251,0.62061369,-5.0310502,-24.243198,-5.6015387,-7.6700554,-3.504251,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
ClC(Cl)C(=O)[O-],1,8,-3.4992387,1.0147592,-5.4641013,-31.658796,-5.4767523,-8.9581575,-3.4992387,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
ClC(Cl)C(=O)[O-],1,8,-3.4181232,1.489233,-5.1710939,-20.340702,-5.5224109,-8.8788185,-3.4181232,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
O(C)c1c2OCOc2cc(CC(N)C)c1,1,13,-5.1034236,1.7947448,4.8164911,-49.886032,-7.6670933,-19.778076,-5.1034236,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0.39306641,1
O(C)c1c2OCOc2cc(CC(N)C)c1,1,13,-5.0874653,1.6577663,6.7286429,-52.517078,-7.3639936,-19.172197,-5.0874653,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0,1
O(C)c1c2OCOc2cc(CC(N)C)c1,1,13,-5.0691733,1.8164041,7.3399425,-48.039085,-7.7426481,-19.886644,-5.0691733,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data13.sdf,0.3996048,1
