mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
S(=O)(=O)(Oc1ccc(C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)CCC(=O)N)CC(=O)O)C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc2ccccc2)CC(=O)O)CCSC)Cc2c3c([nH]c2)cccc3)[C@](O)C)cc1)O,1,407,-10.445449,3.0850825,-208.2807,-58.149315,-7.66045,-69.443962,-10.445449,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
S(=O)(=O)(Oc1ccc(C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)CCC(=O)N)CC(=O)O)C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc2ccccc2)CC(=O)O)CCSC)Cc2c3c([nH]c2)cccc3)[C@](O)C)cc1)O,1,407,-9.9022236,4.9743919,-198.8324,-84.355263,-7.6256385,-62.454632,-9.9022236,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
S(=O)(=O)(Oc1ccc(C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)CCC(=O)N)CC(=O)O)C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc2ccccc2)CC(=O)O)CCSC)Cc2c3c([nH]c2)cccc3)[C@](O)C)cc1)O,1,407,-9.7351027,4.1124387,-200.2897,14.425865,-6.8253722,-59.823257,-9.7351027,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0.0065383911,1
Clc1c(OCCN2CCOCC2)ccc2c(O[C@]3CN(C(=O)[C@@](NC(=O)OC4C[C@]5[C@@](C4)C5)C(C)(C)C)[C@](C(=O)N[C@@]4(C(=O)O)[C@](CC)C4)C3)cc(-c3nc(NC(C)C)sc3)nc12,1,514,-9.6675701,3.8259413,286.18011,-70.977097,-8.0095654,-55.199612,-9.6675701,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
S(=O)(=O)(Oc1ccc(C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)CCC(=O)N)CC(=O)O)C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc2ccccc2)CC(=O)O)CCSC)Cc2c3c([nH]c2)cccc3)[C@](O)C)cc1)O,1,407,-9.6204948,3.8678682,-198.91283,-39.360687,-10.508508,-61.853844,-9.6204948,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
S(=O)(=O)(Oc1ccc(C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)CCC(=O)N)CC(=O)O)C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc2ccccc2)CC(=O)O)CCSC)Cc2c3c([nH]c2)cccc3)[C@](O)C)cc1)O,1,407,-9.5997505,3.7849874,-198.28712,-28.672474,-8.6776342,-56.022911,-9.5997505,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
O=C(OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC)CCCCCCC/C=C\CCCCCCCC,1,576,-9.4402561,5.743906,31.668793,-60.569675,-5.9508052,-52.492943,-9.4402561,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0.24084473,1
Clc1c(OCCN2CCOCC2)ccc2c(O[C@]3CN(C(=O)[C@@](NC(=O)OC4C[C@]5[C@@](C4)C5)C(C)(C)C)[C@](C(=O)N[C@@]4(C(=O)O)[C@](CC)C4)C3)cc(-c3nc(NC(C)C)sc3)nc12,1,514,-9.1651764,3.1579804,300.51508,-49.661999,-7.7105217,-53.023201,-9.1651764,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
O=C(N[C@](C(=O)N[C@@]1[C@](O)[C@](C)O[C@@](O[C@@]2c3c(O)c4C(=O)c5c(OC)cccc5C(=O)c4c(O)c3C[C@@](O)(C(=O)CO)C2)C1)CC(C)C)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)CCCC(=O)O)C[C@](O)C1)C)CO)C1CCCCC1)CCC(=O)N)CO,1,772,-9.0805683,1.5277036,-6.6206732,-51.089039,-6.4206848,-45.835796,-9.0805683,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
O=C(OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC)CCCCCCC/C=C\CCCCCCCC,1,576,-9.0385675,7.0397315,25.769228,-44.793434,-5.9849377,-49.082932,-9.0385675,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0.054844208,1
O=C(OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC)CCCCCCC/C=C\CCCCCCCC,1,576,-9.0040617,2.771426,25.427616,-3.2576573,-5.7030468,-50.064461,-9.0040617,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0.24084473,1
O=C(N[C@](C(=O)N[C@](C(=O)[C@]1(C)OC1)CC(C)C)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)CN1CCOCC1)CCc1ccccc1)CC(C)C,1,918,-8.9917698,2.4439418,266.89435,-46.647015,-7.8699107,-47.908321,-8.9917698,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
O=C(NCC(=O)N)[C@@](NC(=O)[C@]1N(C(=O)[C@]2NC(=O)[C@](CC(=O)N)NC(=O)[C@](CCC(=O)N)NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CN)CSSC2)CCC1)CCCCN,1,227,-8.8546,1.9445914,-51.462395,-41.751434,-9.1015272,-50.012203,-8.8546,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
S(=O)(=O)(NC(=O)[C@]1(NC(=O)[C@]2N(C(=O)[C@](C(C)(C)C)CC(=O)N3CCCCC3)C[C@](Oc3c4c(nc(-c5ccccc5)c3)cc(OC)cc4)C2)[C@](C=C)C1)C1CC1,1,433,-8.7881145,2.9507301,157.19693,-47.991135,-8.3630753,-47.803219,-8.7881145,$HOME/My Research/Docking/sdf/smiles_data6.sdf,1.9389716,1
O=C(N[C@@]1C(=O)N[C@](C)C(=O)N[C@@](Cc2nc[nH]c2)C(=O)N[C@](Cc2ccccc2)C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@](Cc2c3c([nH]c2)cccc3)C(=O)N[C@](C(=O)N)CSSC1)[C@@](NC(=O)C)CCCNC(=N)N,1,668,-8.7663527,3.0394514,-426.76059,-42.904762,-9.2834263,-50.383133,-8.7663527,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
O=C(NCC(=O)N)[C@@](NC(=O)[C@]1N(C(=O)[C@]2NC(=O)[C@](CC(=O)N)NC(=O)[C@](CCC(=O)N)NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CN)CSSC2)CCC1)CCCCN,1,227,-8.7231874,5.126349,-72.324371,-42.08638,-6.3899546,-51.985413,-8.7231874,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0,1
Fc1cc2[nH]c(-c3c(C[C@]4N(C(=O)[C@@](NC(=O)[C@@](NC)C)CC)C[C@@](O)C4)c4c([nH]3)cc(F)cc4)c(C[C@]3N(C(=O)[C@@](NC(=O)[C@@](NC)C)CC)C[C@@](O)C3)c2cc1,1,598,-8.7117434,3.0969191,189.0739,-36.659431,-9.8596506,-50.150734,-8.7117434,$HOME/My Research/Docking/sdf/smiles_data6.sdf,0.35956573,1
S(CCN(C)C)[C@]1N(C)C(=O)[C@](CC)NC(=O)[C@]([C@](O)[C@@](C/C=C/C)C)N(C)C(=O)[C@](C(C)C)N(C)C(=O)[C@](CC(C)C)N(C)C(=O)[C@](CC(C)C)N(C)C(=O)[C@@](C)NC(=O)[C@](C)NC(=O)[C@](CC(C)C)N(C)C(=O)[C@](C(C)C)NC(=O)[C@](CC(O)(C)C)N(C)C1=O,1,983,-8.6052389,1.3639004,348.65503,-42.338383,-7.7662115,-46.43502,-8.6052389,$HOME/My Research/Docking/sdf/smiles_data6.sdf,3.7196608,1
