mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)CCCCCCCCCCCCCCCCC,1,922,-15.613744,6.0675011,661.29987,259.1431,23.541079,-109.49982,-15.613744,$HOME/My Research/Docking/sdf/smiles_data7.sdf,6.4257278,1
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)CCCCCCCCCCCCCCCCC,1,922,-10.791641,7.8856111,609.49976,83.760796,8.2439022,-71.629547,-10.791641,$HOME/My Research/Docking/sdf/smiles_data7.sdf,5.3642488,1
Fc1c(F)c(F)c(C[C@@](NC(=O)[C@](NC(=O)[C@](NC(=O)[C@](NC(=O)[C@](N)Cc2ccc(C(=O)c3ccccc3)cc2)CO)Cc2c3c([nH]c2)cccc3)CO)C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)O)CCCNC(=N)N)CCCNC(=N)N)CCC(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC2CCCCC2)c(F)c1F,1,364,-10.517282,4.9609303,-838.05261,155.66945,14.215198,-69.187012,-10.517282,$HOME/My Research/Docking/sdf/smiles_data7.sdf,0,1
Fc1c(F)c(F)c(C[C@@](NC(=O)[C@](NC(=O)[C@](NC(=O)[C@](NC(=O)[C@](N)Cc2ccc(C(=O)c3ccccc3)cc2)CO)Cc2c3c([nH]c2)cccc3)CO)C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@@](C(=O)O)CCCNC(=N)N)CCCNC(=N)N)CCC(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CC2CCCCC2)c(F)c1F,1,364,-10.278212,4.3882494,-844.61304,-10.132368,-6.1647072,-72.140434,-10.278212,$HOME/My Research/Docking/sdf/smiles_data7.sdf,0,1
Clc1ccc(C[C@@](NC(=O)[C@](NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)Cc2ccc(NC(=O)N)cc2)Cc2ccc(NC(=O)[C@]3NC(=O)NC(=O)C3)cc2)CO)Cc2cnccc2)cc1,1,365,-10.241267,3.2939961,-273.68353,29.038055,-4.4234066,-62.884384,-10.241267,$HOME/My Research/Docking/sdf/smiles_data7.sdf,0,1
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)CCCCCCCCCCCCCCCCC,1,922,-9.9990253,11.469028,602.56848,128.02818,9.0809841,-65.89444,-9.9990253,$HOME/My Research/Docking/sdf/smiles_data7.sdf,3.7146842,1
O=C(O)CC[C@]1C(=O)N[C@@](C)C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@]2C(=O)N[C@@](Cc3ccc(O)cc3)C(=O)N[C@@](CC(=O)N)C(=O)N[C@@](CC(=O)O)C(=O)N3[C@](C(=O)N[C@@](CCCCN)C(=O)N[C@](C(=O)N[C@@](CO)C(=O)N[C@@](CC(=O)O)C(=O)N[C@@](Cc4ccccc4)C(=O)N[C@@](C(C)C)C(=O)N[C@@](CCC(=O)N)C(=O)N[C@@](C)C(=O)N[C@@](CC(=O)O)C(=O)N1)CSSC2)CCC3,1,746,-9.7934446,2.5559015,-599.99261,-43.131771,-6.9022326,-63.181625,-9.7934446,$HOME/My Research/Docking/sdf/smiles_data7.sdf,0,1
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)CCC(=O)O)CCC(=O)N)CC(C)C)CCC(=O)O)CCCNC(=N)N)C)CC(C)C)CC(=O)N)CO)CO,1,758,-9.6953144,6.2701945,-351.28369,2.0615556,-5.8271165,-60.488335,-9.6953144,$HOME/My Research/Docking/sdf/smiles_data7.sdf,0,1
O=C(NCCNC(=O)COc1cc([C@](OC(=O)[C@]2N(C(=O)[C@@](CC)c3cc(OC)c(OC)c(OC)c3)CCCC2)CCc2cc(OC)c(OC)cc2)ccc1)COc1cc([C@](OC(=O)[C@]2N(C(=O)[C@@](CC)c3cc(OC)c(OC)c(OC)c3)CCCC2)CCc2cc(OC)c(OC)cc2)ccc1,1,72,-9.6527719,2.0610814,156.26099,-21.744886,-4.8218036,-56.868565,-9.6527719,$HOME/My Research/Docking/sdf/smiles_data7.sdf,0,1
O=C(N)CN1C(=O)[C@](Cc2ccccc2)NC(=O)[C@](C(O)C)NC(=O)[C@](CCCCN)NC(=O)[C@@](Cc2c3c([nH]c2)cccc3)NC(=O)[C@](Cc2c3c([nH]c2)cccc3)NC(=O)[C@](Cc2ccccc2)NC(=O)CCCNC(=O)CCC1,1,954,-9.5408459,2.5372784,-52.022114,-110.3694,-12.602483,-55.613365,-9.5408459,$HOME/My Research/Docking/sdf/smiles_data7.sdf,0.0065383911,1
