mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCCN)CCCCN)CCCCN)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)C)CCCNC(=N)N)Cc1ccc(O)cc1)Cc1ccc(O)cc1)CCCNC(=N)N)Cc1c2c([nH]c1)cccc2)CCCCN)CCCCN)CCCCN,1,494,-10.824983,4.9910088,-395.87338,-22.057463,-2.7434964,-66.851471,-10.824983,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0.019615173,1
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCCN)CCCCN)CCCCN)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)C)CCCNC(=N)N)Cc1ccc(O)cc1)Cc1ccc(O)cc1)CCCNC(=N)N)Cc1c2c([nH]c1)cccc2)CCCCN)CCCCN)CCCCN,1,494,-10.588923,3.3987014,-386.00842,3.2174177,-2.5963643,-62.391277,-10.588923,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0.013076782,1
O=C(N[C@](C(=O)N)CCCCN)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)C(c1ccccc1)c1ccccc1,1,297,-10.198294,4.6723919,58.259804,-18.303961,-6.8620877,-62.60284,-10.198294,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0.0065383911,1
O=C(N[C@](C(=O)N)CCCCN)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)C(c1ccccc1)c1ccccc1,1,297,-10.144213,4.4298606,60.587078,-39.17115,-6.2437024,-58.48798,-10.144213,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0.0065383911,1
S(=O)(=O)(O)CN(C(=O)CCCCC(CC)C)[C@](C(=O)N[C@]([C@](O)C)CN[C@](C(=O)N[C@@]1C(=O)N[C@@](CCNCS(=O)(=O)O)C(=O)N[C@](CC(C)C)C(=O)N[C@@](CC(C)C)C(=O)N[C@@](CCNCS(=O)(=O)O)C(=O)N[C@](CCNCS(=O)(=O)O)C(=O)N[C@@]([C@](O)C)C(=O)NCC1)CCNCS(=O)(=O)O)CCNCS(=O)(=O)O,1,249,-10.000825,4.791234,629.69293,28.717445,-7.2999034,-66.942787,-10.000825,$HOME/My Research/Docking/sdf/smiles_data8.sdf,1.1054728,1
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCCN)CCCCN)CCCCN)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)C)CCCNC(=N)N)Cc1ccc(O)cc1)Cc1ccc(O)cc1)CCCNC(=N)N)Cc1c2c([nH]c1)cccc2)CCCCN)CCCCN)CCCCN,1,494,-9.8689079,5.5741267,-409.10327,-9.7366562,-2.5216727,-57.114922,-9.8689079,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0.019615173,1
O=C(O)[C@@](NC[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@]2N(C(=O)[C@]3N(C(=O)[C@@](N)CCCNC(=N)N)CCC3)C[C@](O)C2)Cc2sccc2)CO)CCC1)Cc1ccc(OC)cc1)CCCNC(=N)N,1,284,-9.7527437,2.6033375,-167.14726,-52.562946,-7.6700602,-55.31031,-9.7527437,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0.0038928986,1
S(=O)(=O)(Oc1ccc(C[C@](NC(=O)[C@@](N)CC(=O)O)C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc2ccccc2)CC(=O)O)CCSC)Cc2c3c([nH]c2)cccc3)CCSC)cc1)O,1,604,-9.5633135,2.4068887,-11.701067,-10.836112,-8.1137867,-58.686909,-9.5633135,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0,1
S(CC[C@]1C(=O)N[C@@](Cc2ccc(O)cc2)C(=O)N[C@@](CC(=O)O)C(=O)N[C@@]2C(=O)N[C@@]3C(=O)N[C@@]([C@](O)C)C(=O)NCC(=O)N[C@@](CO)C(=O)N[C@](C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@](CO)C(=O)NCC(=O)N[C@@](CCCCN)C(=O)N[C@](C(=O)N)CSSC2)CSSC[C@@](C(=O)N[C@@](CO)C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@](CC(C)C)C(=O)N1)NC(=O)[C@](CCCCN)NC(=O)[C@](C)NC(=O)CNC(=O)[C@](CCCCN)NC(=O)CNC(=O)[C@](CCCCN)NC(=O)[C@@](N)CSSC3)C,1,122,-9.4720755,3.9672196,-263.80402,-14.023906,-6.1827674,-58.005314,-9.4720755,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0,1
O=C(N[C@](C(=O)N)CCCCN)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)Cc1c2c([nH]c1)cccc2)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)C(c1ccccc1)c1ccccc1,1,297,-9.3907022,3.4223387,60.337254,-0.48480392,-8.7940702,-52.665134,-9.3907022,$HOME/My Research/Docking/sdf/smiles_data8.sdf,0.0065383911,1
