mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,E_orig,Rec_index
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCCN,1,13,-9.7055693,2.4464426,-62.334457,-43.104496,-9.8182049,-62.125519,-9.7055693,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,349,-9.4418011,1.9728602,-234.80205,-95.72097,-10.121923,-54.411343,-9.4418011,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,349,-9.1222649,2.362721,-255.40637,-61.447437,-9.4815226,-52.581669,-9.1222649,0.0065383911,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCCN,1,13,-8.9818048,2.7523305,-66.426674,-61.942112,-9.7423038,-54.875702,-8.9818048,0.0065383911,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(C(CC)C)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,869,-8.9033909,2.7621217,-206.16626,-82.786026,-9.4054365,-53.86491,-8.9033909,2.2500288e-005,1
Clc1c2Oc3c(OC4C(OC5OC(C)C(O)C(N)(C)C5)C(O)C(O)C(CO)O4)c4Oc5c(Cl)cc(C(O)C6C(=O)NC(C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)C(C(=O)N6)NC(=O)C(NC(=O)C(CC(=O)N)NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c(c1)cc2)c(c3)c4)cc5,1,1,-8.7790804,3.1505749,158.21539,-11.268979,-7.8396931,-53.078281,-8.7790804,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCCN,1,13,-8.6898184,1.2275646,-65.562927,-105.56465,-12.308168,-49.59161,-8.6898184,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,349,-8.6847286,2.943109,-248.84138,-39.256336,-9.7249823,-50.405727,-8.6847286,0.0065383911,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCCN,1,13,-8.6213932,2.0846152,-60.909504,-39.788322,-9.7775679,-46.521179,-8.6213932,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,349,-8.4969873,2.2727423,-229.44861,-92.289345,-10.120862,-48.350338,-8.4969873,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,349,-8.4698734,3.6846931,-231.59596,-106.30033,-8.3267803,-50.659897,-8.4698734,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCCN,1,13,-8.45224,2.0667999,-44.243771,-22.770285,-10.96753,-48.583305,-8.45224,0.0065383911,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(C(CC)C)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,869,-8.4103661,1.7868018,-226.22983,-72.534904,-10.395621,-46.649349,-8.4103661,0,1
Clc1c2Oc3c(OC4C(OC5OC(C)C(O)C(N)(C)C5)C(O)C(O)C(CO)O4)c4Oc5c(Cl)cc(C(O)C6C(=O)NC(C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)C(C(=O)N6)NC(=O)C(NC(=O)C(CC(=O)N)NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c(c1)cc2)c(c3)c4)cc5,1,1,-8.3794527,2.7253118,158.6752,-75.090546,-12.805288,-46.03714,-8.3794527,0,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(C(CC)C)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,869,-8.3760529,1.5596324,-176.24884,-77.401451,-11.547482,-47.443443,-8.3760529,2.2500288e-005,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(C(CC)C)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,869,-8.3724871,2.2787664,-201.78537,-71.590797,-9.8541336,-47.68589,-8.3724871,2.2500288e-005,1
P(=O)(OP(=O)(OCC1C(O)C(OP(=O)(O)O)C(n2c3ncnc(N)c3nc2)O1)O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)O,1,44,-8.2812977,2.4069989,-441.59549,-56.558155,-9.7901402,-48.301949,-8.2812977,0.8442719,1
P(=O)(OP(=O)(OCC1C(O)C(OP(=O)(O)O)C(n2c3ncnc(N)c3nc2)O1)O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)O,1,44,-8.2214718,3.6216424,-426.6481,-28.21517,-10.455892,-50.514397,-8.2214718,1.9892519,1
O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(C(CC)C)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCC/N=C(\N)/N,1,869,-8.2155733,1.6711816,-214.95648,-33.948006,-9.3648176,-47.897125,-8.2155733,0,1
Clc1c2Oc3c(OC4C(OC5OC(C)C(O)C(N)(C)C5)C(O)C(O)C(CO)O4)c4Oc5c(Cl)cc(C(O)C6C(=O)NC(C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)C(C(=O)N6)NC(=O)C(NC(=O)C(CC(=O)N)NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c(c1)cc2)c(c3)c4)cc5,1,1,-8.1036406,4.5986509,149.11577,-29.331278,-8.5249758,-50.771351,-8.1036406,0,1
Clc1c2Oc3c(OC4C(OC5OC(C)C(O)C(N)(C)C5)C(O)C(O)C(CO)O4)c4Oc5c(Cl)cc(C(O)C6C(=O)NC(C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)C(C(=O)N6)NC(=O)C(NC(=O)C(CC(=O)N)NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c(c1)cc2)c(c3)c4)cc5,1,1,-8.0562115,3.6929924,166.28351,-53.737057,-9.4091711,-46.748695,-8.0562115,0,1
P(=O)(OP(=O)(OCC1C(O)C(OP(=O)(O)O)C(n2c3ncnc(N)c3nc2)O1)O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)O,1,44,-7.928544,1.6354134,-453.16901,-90.431717,-11.259919,-44.463684,-7.928544,2.0193009,1
P(=O)(OP(=O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)[O-])(OCC1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1)O,1,45,-7.8970504,2.8015072,-316.40802,-94.141304,-10.461087,-47.873142,-7.8970504,0,1
P(=O)(OP(=O)(OCC1C(O)C(OP(=O)(O)O)C(n2c3ncnc(N)c3nc2)O1)O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)O,1,44,-7.8874731,1.5596118,-448.18887,-86.031372,-10.499391,-44.800091,-7.8874731,1.2985978,1
O(C)c1c(O)cc(C2Oc3c(c(O)cc(OC4C(O)C(O)C(O)C(COC5C(O)C(O)C(O)C(C)O5)O4)c3)C(=O)C2)cc1,1,495,-7.8641105,2.1187856,122.05999,-86.478996,-10.822208,-48.285046,-7.8641105,1.9760002,1
O=CCC1C(OC2C(O)C(N(C)C)C(OC3OC(C)C(O)C(O)(C)C3)C(C)O2)C(C)C(O)CC(=O)OC(CC)C(COC2C(OC)C(OC)C(O)C(C)O2)C=C(C)C=CC(=O)C(C)C1,1,638,-7.8480377,2.5407577,130.38133,-28.907536,-10.536892,-42.432568,-7.8480377,0,1
P(=O)(OP(=O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)[O-])(OCC1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1)O,1,45,-7.841434,4.6354942,-313.2124,-43.495441,-10.392734,-50.605026,-7.841434,0,1
P(=O)(OP(=O)(OCC1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1)O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)O,1,46,-7.8336649,2.0727527,-265.17844,-99.809708,-12.568843,-47.405384,-7.8336649,2.3207104,1
P(=O)(OP(=O)(OCC1C(O)C(OP(=O)(O)O)C(n2c3ncnc(N)c3nc2)O1)O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)O,1,44,-7.8038688,2.3379216,-443.65656,-47.36602,-10.097358,-45.889778,-7.8038688,0.81422287,1
C(CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,1,565,-7.8023634,1.5610176,58.005997,-67.76947,-7.9635191,-40.529137,-7.8023634,4,1
Clc1c2Oc3c(OC4C(OC5OC(C)C(O)C(N)(C)C5)C(O)C(O)C(CO)O4)c4Oc5c(Cl)cc(C(O)C6C(=O)NC(C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)C(C(=O)N6)NC(=O)C(NC(=O)C(CC(=O)N)NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c(c1)cc2)c(c3)c4)cc5,1,1,-7.7870293,2.8932407,131.11624,-48.822426,-9.6903601,-44.919132,-7.7870293,0,1
O(C)c1c(OC)cc2c3c1Oc1ccc(cc1)CC1[N+](C)(C)CCc4c1cc(c(OC)c4)Oc1c(OC)ccc(c1)CC3[N+](C)(C)CC2,1,728,-7.7744713,5.5746527,129.73505,-40.301651,-8.8700113,-47.197044,-7.7744713,1.2329084,1
P(=O)(OP(=O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)[O-])(OCC1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1)O,1,45,-7.7738614,2.702951,-321.43301,-84.945442,-10.67246,-47.227654,-7.7738614,0,1
O(C)c1c(O)cc(C2Oc3c(c(O)cc(OC4C(O)C(O)C(O)C(COC5C(O)C(O)C(O)C(C)O5)O4)c3)C(=O)C2)cc1,1,495,-7.7179685,3.0918753,111.46327,-78.307129,-10.298699,-49.452976,-7.7179685,1.1312132,1
O=C(OCC(O)C1C(O)C(O)CO1)CCCCCCCCCCCCCCCCC,1,636,-7.6803436,4.4995461,83.642761,-74.613548,-10.590899,-41.920429,-7.6803436,2.4665709,1
O=CCC1C(OC2C(O)C(N(C)C)C(OC3OC(C)C(O)C(O)(C)C3)C(C)O2)C(C)C(O)CC(=O)OC(CC)C(COC2C(OC)C(OC)C(O)C(C)O2)C=C(C)C=CC(=O)C(C)C1,1,638,-7.6560001,2.4946835,143.40303,-49.573055,-8.3098097,-43.524529,-7.6560001,0,1
FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(OC(=O)C)C1)CC2O,1,113,-7.5418258,1.3029317,95.016205,-81.328339,-8.8439884,-42.635281,-7.5418258,2.588258,1
P(=O)(OP(=O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)[O-])(OCC1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1)O,1,45,-7.5404615,2.4406579,-320.99463,-70.208794,-11.566992,-43.994579,-7.5404615,0,1
O(CC1C(O)C(OC2C(O)C(O)C(O)C(CO)O2)C(O)C(OC2C(O)C(O)OC(CO)C2O)O1)C1C(O)C(O)C(O)C(CO)O1,1,870,-7.5295372,1.6826013,262.85715,-122.9335,-10.620686,-41.264431,-7.5295372,1.0085509,1
O=C(NC1(C)C(=O)N2C(O)(O1)C1N(C(=O)C2Cc2ccccc2)CCC1)C1CN(C)C2C(c3c4c([nH]cc4C2)ccc3)C1,1,491,-7.4862823,3.3011842,24.376732,-71.320007,-8.7139683,-39.185013,-7.4862823,0,1
P(=O)(OP(=O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)[O-])(OCC1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1)O,1,45,-7.4780827,3.1943338,-316.36642,-86.429916,-9.9557371,-40.97673,-7.4780827,0,1
O(CC1C(O)C(OC2C(O)C(O)C(O)C(CO)O2)C(O)C(OC2C(O)C(O)OC(CO)C2O)O1)C1C(O)C(O)C(O)C(CO)O1,1,870,-7.4699931,1.7539128,264.35678,-87.781189,-10.596694,-44.86084,-7.4699931,3.3987358,1
P(=O)(OP(=O)(OCC1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1)O)(OCC1C(O)C(O)C([n+]2cc(C(=O)N)ccc2)O1)O,1,46,-7.4570098,1.4951595,-282.83658,-55.565918,-10.089405,-48.357147,-7.4570098,0.72070313,1
O=C(NC1C(OC2C(O)C(O)C(O)C(C(=O)O)O2)C(O)C(CO)OC1OC1C(O)C(O)C(OC2C(O)C(CO)OC(O)C2NC(=O)C)OC1C(=O)O)C,1,864,-7.4462504,1.4550453,109.348,-93.522156,-7.8195243,-41.12862,-7.4462504,0,1
S(P(SCCCC)SCCCC)CCCC,1,405,-7.4346824,2.4076827,6.2533083,-37.253651,-8.0785971,-34.584415,-7.4346824,1.0699134,1
O(CC1C(O)C(OC2C(O)C(O)C(O)C(CO)O2)C(O)C(OC2C(O)C(O)OC(CO)C2O)O1)C1C(O)C(O)C(O)C(CO)O1,1,870,-7.4170284,1.142199,250.07976,-77.579086,-11.691643,-42.492928,-7.4170284,3.906774,1
O(CC1C(O)C(OC2C(O)C(O)C(O)C(CO)O2)C(O)C(OC2C(O)C(O)OC(CO)C2O)O1)C1C(O)C(O)C(O)C(CO)O1,1,870,-7.4150476,1.4603579,262.49353,-90.8722,-9.67768,-41.687737,-7.4150476,2.3404756,1
O(C)c1c(OC)cc2c3c1Oc1ccc(cc1)CC1[N+](C)(C)CCc4c1cc(c(OC)c4)Oc1c(OC)ccc(c1)CC3[N+](C)(C)CC2,1,728,-7.4141951,1.9495819,131.64894,-9.4880762,-9.8513794,-39.728683,-7.4141951,3.9172213,1
