mol,mseq,S
O=C(O)[C@](NC(=O)[C@@](NC(=O)CCCCCCCCCCC)C)CCC(=O)N[C@](C(=O)O)CCC[C@](N)C(=O)N,402,-8.0150633
O(CCCCN1CCN(CCc2cc(OC)c(OC)c(OC)c2)CC1)c1c([C@]2(C(C)C)C(=O)N(C)c3c(S2)cccc3)cccc1,505,-7.993413
S(=O)(=O)(N[C@](C(=O)N(CC(=O)O)C1CC1)CC(=O)NC[C@]1CN(C(=N)N)CCC1)c1cc2c(cc1)cccc2,163,-7.9891796
ClCCN(CCCl)c1ccc(CCCC(=O)OCC(=O)O[C@@]2[C@]3(C)[C@]([C@]4[C@@](c5c(cc(OC(=O)c6ccccc6)cc5)CC4)CC3)CC2)cc1,649,-7.9789829
O=C(N(CC)CC)COc1c2c3c(O)c(C)c4O[C@@](C)(C(=O)c24)O/C=C/[C@](OC)[C@@](C)[C@@](OC(=O)C)[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)/C=C/C=C(/C)\C(=O)Nc(c3O)c1,230,-7.953855
O=C(OCC(=O)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1)C(OCC)OCC,340,-7.9481654
O=C1[C@@](Cc2ccccc2)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]2N(C(=O)[C@@](Cc3ccccc3)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]3N1CCC3)CCC2,382,-7.9206133
O=C(O)CN(CC(=O)NCCOC)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCCOC,127,-7.9177732
O=C(OCC(=O)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1)C(OCC)OCC,340,-7.9142489
S(SCCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C)CCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C,455,-7.9112411
ClC(Cl)C(=O)N(CCOCC)Cc1ccc(CN(C(=O)C(Cl)Cl)CCOCC)cc1,136,-7.8914366
O=C(OCC(COC(=O)C(CC)c1ccccc1)(COC(=O)C(CC)c1ccccc1)COC(=O)C(CC)c1ccccc1)C(CC)c1ccccc1,445,-7.8872299
O=C(OCC(=O)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1)C(OCC)OCC,340,-7.8781271
Brc1c(c(C(=O)c2cc(Cl)c(OCCCN(CCCC)CCCC)cc2)n2c1C=CC=C2)-c1ccccc1,461,-7.8775387
ClCCN(CCCl)c1ccc(CCCC(=O)OCC(=O)O[C@@]2[C@]3(C)[C@]([C@]4[C@@](c5c(cc(OC(=O)c6ccccc6)cc5)CC4)CC3)CC2)cc1,649,-7.8160872
Ic1c(N(C(=O)C)CC(O)COCCCCOCC(O)CN(C(=O)C)c2c(I)c(N(C(=O)C)C)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c(I)c1N(C(=O)C)C,276,-7.7929721
P(=O)(Oc1c(OC)cc([C@@]2c3c([C@@](O[C@]4[C@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@]5O[C@](C)OC[C@]5O4)[C@@]4[C@@]2C(=O)OC4)cc2OCOc2c3)cc1OC)(O)O,160,-7.7920084
O=C1[C@@](Cc2ccccc2)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]2N(C(=O)[C@@](Cc3ccccc3)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]3N1CCC3)CCC2,382,-7.7734642
S(=O)(=O)(O)C(Nc1ccc(S(=O)(=O)c2ccc(NC(S(=O)(=O)O)[C@](O)[C@@](O)[C@](O)[C@](O)CO)cc2)cc1)[C@](O)[C@@](O)[C@](O)[C@](O)CO,418,-7.7468815
S(SCCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C)CCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C,455,-7.7363505
Brc1ccc(O[P@@](=O)(OC[C@@]2O[C@](N3C(=O)N=C(N)C=C3)CO2)N[C@](C(=O)O[C@](CCC)C)C)cc1,132,-7.7317748
S(SCCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C)CCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C,455,-7.7298846
Brc1ccc(O[P@@](=O)(OC[C@@]2O[C@](N3C(=O)N=C(N)C=C3)CO2)N[C@](C(=O)O[C@](CCC)C)C)cc1,132,-7.7191653
Ic1c(N(C(=O)C)CC(O)COCCCCOCC(O)CN(C(=O)C)c2c(I)c(N(C(=O)C)C)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c(I)c1N(C(=O)C)C,276,-7.7092342
S(=O)(=O)(O)C(Nc1ccc(S(=O)(=O)c2ccc(NC(S(=O)(=O)O)[C@](O)[C@@](O)[C@](O)[C@](O)CO)cc2)cc1)[C@](O)[C@@](O)[C@](O)[C@](O)CO,418,-7.7083502
O=[N+]([O-])c1cc2c3c(C(=O)N([C@@](CNCCNC[C@@](C)N4C(=O)c5c6c(cc([N+](=O)[O-])c5)cccc6C4=O)C)C(=O)c3ccc2)c1,319,-7.6965885
P(=O)(Oc1c(C/C=C(/CCC[C@@](CCC[C@@](CCCC(C)C)C)C)\C)c(C)c(OP(=O)(O)O)c2c1cccc2)(O)O,211,-7.6949177
O=C(O)[C@](NC(=O)[C@@](NC(=O)CCCCCCCCCCC)C)CCC(=O)N[C@](C(=O)O)CCC[C@](N)C(=O)N,402,-7.6928144
ClCCN(CCCl)c1ccc(CCCC(=O)OCC(=O)O[C@@]2[C@]3(C)[C@]([C@]4[C@@](c5c(cc(OC(=O)c6ccccc6)cc5)CC4)CC3)CC2)cc1,649,-7.6842723
Ic1c(N(C(=O)C)CC(O)COCCCCOCC(O)CN(C(=O)C)c2c(I)c(N(C(=O)C)C)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c(I)c1N(C(=O)C)C,276,-7.684094
O=C(OCC(=O)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1)C(OCC)OCC,340,-7.676753
O=C(OCC)Oc1c(OC)cc(C(=O)O[C@]2[C@](OC)[C@@](C(=O)OC)[C@@]3[C@](C2)CN2[C@@](c4[nH]c5c(c4CC2)ccc(OC)c5)C3)cc1OC,226,-7.6739826
S(SCCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C)CCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C,455,-7.6689711
P(=O)(Oc1c(OC)cc([C@@]2c3c([C@@](O[C@]4[C@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@]5O[C@](C)OC[C@]5O4)[C@@]4[C@@]2C(=O)OC4)cc2OCOc2c3)cc1OC)(O)O,160,-7.6679811
O=C(O)CCc1c(OCC)nn(Cc2ccc(OCc3nc(-c4ccccc4)sc3)cc2)c1,457,-7.6672421
O(CCO[C@]1[C@](OC)C[C@](C[C@@](C)[C@]2OC(=O)[C@]3N(C(=O)C(=O)[C@@]4(O)[C@](C)CC[C@](O4)C[C@](OC)/C(/C)=C/C=C/C=C/[C@@](C)C[C@@](C)C(=O)[C@](OC)[C@](O)/C(/C)=C/[C@@](C)C(=O)C2)CCCC3)CC1)CC,139,-7.6659808
O(CCCCN1CCN(CCc2cc(OC)c(OC)c(OC)c2)CC1)c1c([C@]2(C(C)C)C(=O)N(C)c3c(S2)cccc3)cccc1,505,-7.6623802
O=C(N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)O)CCC1)CCCCN)CC(=O)O)[C@@](NC(=O)C)CO,311,-7.6623092
O=C1[C@@](Cc2ccccc2)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]2N(C(=O)[C@@](Cc3ccccc3)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]3N1CCC3)CCC2,382,-7.6608429
O=C1[C@@](Cc2ccccc2)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]2N(C(=O)[C@@](Cc3ccccc3)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]3N1CCC3)CCC2,382,-7.6467547
S(c1nc(N)nc2n(CCOCP(=O)(OCC(F)(F)F)OCC(F)(F)F)cnc12)c1ccc(OC)cc1,306,-7.6373782
F[C@@]1[C@](O)[C@](O)[C@](C)O[C@]1O[C@@]1c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C[C@@](O)(C(=O)COC(=O)CCN)C1,297,-7.6309056
O=C(Oc1c(OC(=O)c2cnccc2)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1)c1cnccc1,274,-7.6230354
O=C(O)CCc1c(OCC)nn(Cc2ccc(OCc3nc(-c4ccccc4)sc3)cc2)c1,457,-7.6179247
O=C(OC(CN1C(=O)c2c(c(OC)c(OC)c(OC)c2)N=N1)CN1CCOCC1)c1cc(OC)c(OC)c(OC)c1,378,-7.6093321
O=C(O)CCc1c(OCC)nn(Cc2ccc(OCc3nc(-c4ccccc4)sc3)cc2)c1,457,-7.6064978
Clc1c(Cl)cccc1N1CCN(CCCCOc2cc3N(COC(=O)CCCCC)C(=O)CCc3cc2)CC1,578,-7.5958338
P(=O)(Oc1c(C/C=C(/CCC[C@@](CCC[C@@](CCCC(C)C)C)C)\C)c(C)c(OP(=O)(O)O)c2c1cccc2)(O)O,211,-7.5666952
O=C(OCC)Oc1c(OC)cc(C(=O)O[C@]2[C@](OC)[C@@](C(=O)OC)[C@@]3[C@](C2)CN2[C@@](c4[nH]c5c(c4CC2)ccc(OC)c5)C3)cc1OC,226,-7.5649514
P(=O)(Oc1c(C/C=C(/CCC[C@@](CCC[C@@](CCCC(C)C)C)C)\C)c(C)c(OP(=O)(O)O)c2c1cccc2)(O)O,211,-7.5609646
O=C(OC(CN1C(=O)c2c(c(OC)c(OC)c(OC)c2)N=N1)CN1CCOCC1)c1cc(OC)c(OC)c(OC)c1,378,-7.5506797
O=C(OCC(O)COC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,45,-7.545177
Brc1ccc(O[P@@](=O)(OC[C@@]2O[C@](N3C(=O)N=C(N)C=C3)CO2)N[C@](C(=O)O[C@](CCC)C)C)cc1,132,-7.5376477
Clc1c(Cl)cccc1N1CCN(CCCCOc2cc3N(COC(=O)CCCCC)C(=O)CCc3cc2)CC1,578,-7.5316238
O=C(OCC(COC(=O)C(CC)c1ccccc1)(COC(=O)C(CC)c1ccccc1)COC(=O)C(CC)c1ccccc1)C(CC)c1ccccc1,445,-7.5290055
S(c1nc(N)nc2n(CCOCP(=O)(OCC(F)(F)F)OCC(F)(F)F)cnc12)c1ccc(OC)cc1,306,-7.5235853
O=[N+]([O-])c1cc2c3c(C(=O)N([C@@](CNCCNC[C@@](C)N4C(=O)c5c6c(cc([N+](=O)[O-])c5)cccc6C4=O)C)C(=O)c3ccc2)c1,319,-7.5223365
O=C(N(Cc1ccc(-c2c(-c3[nH]nnn3)cccc2)cc1)CC1(C(=O)O)CCCC1)CCCC,158,-7.5189347
