mol,mseq,S
O=C(OCC[N+]1(C)C(C)CCC1C)C(O)(c1ccccc1)c1ccccc1,652,-6.659246
O=C(N[C@@]1C(=O)N2[C@@](C(=O)OCC3=C(C)OC(=O)O3)C(C)(C)S[C@]12)[C@](N)c1ccccc1,561,-6.6588936
O=C(OCC)O[C@]1[C@](O[C@]2[C@@](O)(C)C[C@@](C)C(=O)[C@](C)[C@@](O)[C@@](O)(C)[C@@](CC)OC(=O)[C@](C)[C@@](O[C@@]3O[C@@](C)[C@](O)[C@@](OC)(C)C3)[C@@]2C)O[C@](C)C[C@@]1N(C)C,633,-6.6584358
O=C(N)C1(N2CCCCC2)CCN(CCCN2c3c(cccc3)CCc3c2cccc3)CC1,168,-6.658041
[N+](C(CCCCCCCCCCC)c1ccc(C)cc1)(C)(C)C,376,-6.6580305
O=[N+]([O-])c1cc([C@]2C(C(=O)OCCCN3CCC(c4ccccc4)(c4ccccc4)CC3)=C(C)NC(C)=C2C(=O)OC)ccc1,462,-6.657742
Clc1nc2nc(N3C(=O)C=4SCCSC=4C3OC(=O)N3CCN(C(=O)CC)CC3)ccc2cc1,214,-6.6566229
O=C(N(CC)CC)COc1c2c3c(O)c(C)c4O[C@@](C)(C(=O)c24)O/C=C/[C@](OC)[C@@](C)[C@@](OC(=O)C)[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)/C=C/C=C(/C)\C(=O)Nc(c3O)c1,230,-6.6543036
N(\CCCCCCCC)=C/1\C=CN(CCCCCCCC)C=C\1,212,-6.6538568
O=C(OCC)C[N+](CCCCCCCCCCCC)(C)C,436,-6.6533937
S(C(=O)C)[C@@]1[C@@]2(C)C(=CC(=O)C1)C[C@@](SC(=O)C)[C@@]1[C@@]2CC[C@]2(C)[C@](O)(C)CC[C@@]12,529,-6.653029
ClC(Cl)C(=O)N(CCOCC)Cc1ccc(CN(C(=O)C(Cl)Cl)CCOCC)cc1,136,-6.6527524
Oc1c2c(OC(C)(C)C3C2CC(O)CC3)cc(C(CCCCCC)(C)C)c1,196,-6.6508703
O=C(OC)C=1C(=O)c2c(NC=1)cc(OCc1ccccc1)c(CCCC)c2,108,-6.6503463
O=C1C(c2ccccc2)(C2CCN(C/C=C/c3ccccc3)CC2)CCC(=O)N1,553,-6.649888
O=C(N1c2c(OCC(O)CNC(C)C)cccc2CCC1)c1cnccc1,126,-6.6496496
O=C(N(CC)CC)COc1c2c3c(O)c(C)c4O[C@@](C)(C(=O)c24)O/C=C/[C@](OC)[C@@](C)[C@@](OC(=O)C)[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)/C=C/C=C(/C)\C(=O)Nc(c3O)c1,230,-6.6495237
O=[N+]([O-])c1cc([C@]2C(C(=O)OCCCN3CCC(c4ccccc4)(c4ccccc4)CC3)=C(C)NC(C)=C2C(=O)OC)ccc1,462,-6.6487179
O=C(O)/C(=C/[C@@](N(C(=O)[C@@](NC(=O)[C@@](NC)C(C)(C)c1ccccc1)C(C)(C)C)C)C(C)C)/C,432,-6.6473508
O=C(Oc1c2c(OC(C)(C)C3=C2CC(C)CC3)cc(C(C(CCCCC)C)C)c1)CCCN1CCCCCC1,380,-6.647131
Clc1c(/C=C/c2nc3c(c(NC(CCCN(CC)CC)C)c2)ccc(Cl)c3)cccc1,338,-6.64713
O=C1N(CCC)C(=O)c2[nH]c([C@@]3CC(=O)CC3)nc2N1CCC,442,-6.6455894
Fc1c(N2C[C@@]3(C)[C@]([C@@](N)C3)C2)nc2N(C3CC3)C=C(C(=O)O)C(=O)c2c1,284,-6.6455278
FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(scc3)Sc2cc1,605,-6.6437511
O=C1N(CCC)C(=O)c2[nH]c([C@@]3CC(=O)CC3)nc2N1CCC,442,-6.6431084
O=C(N1[C@@](C(=O)O)(Cn2nccc2)C[C@](COC)[C@@]1c1sccn1)c1cc(OC)c(C(C)(C)C)cc1,115,-6.6428208
Ic1c(NC(=O)c2ccc(F)cc2)cc(OC)c(C(=O)NCCN(CC)CC)c1,79,-6.6426578
Clc1ccc(-c2ccc(C(=O)C[C@@](C(=O)O)CSc3ccccc3)cc2)cc1,690,-6.6422925
O=C(NCCC(=O)OCC)N[C@@]1C(=O)N(c2ccc(C(=N)N)cc2)CC1,18,-6.6413388
Clc1c(S(=O)(=O)C)ccc([C@](C(=O)Nc2nccnc2)C[C@@]2CC(=O)CC2)c1,626,-6.6408453
S(=O)(=O)(O)c1cc(C(=O)OCC(=O)[C@]2(O)[C@]3(C)[C@]([C@]4[C@@]([C@]5(C)C(=CC(=O)C=C5)CC4)[C@@](O)C3)CC2)ccc1,203,-6.6401429
O=C(O)[C@@](N[C@@]1C(=O)N(CC(=O)O)c2c(cccc2)CC1)CCCCN,309,-6.6396031
O(CCN(CC)CC)c1c(-n2c(C)ccc2-c2ccccc2)cccc1,96,-6.6393065
O=C(O)C[C@](NC(=O)[C@]1CN(C(=O)CCC2CCNCC2)CCC1)c1cnccc1,315,-6.6389546
S(=O)(=O)(NC(=O)Nc1c(NC(=S)NP(=O)(OCC)OCC)cccc1)c1ccc(C)cc1,148,-6.6380763
Oc1c2c(OC(C)(C)C=3SCCCC2=3)cc(C(C(CCCCC)C)C)c1,453,-6.6365752
O=C(O)C[C@](NC(=O)[C@]1CN(C(=O)CCC2CCNCC2)CCC1)c1cnccc1,315,-6.6359043
O(Cc1[nH]nnn1)c1cc2c(cc(-c3n(Cc4ccccc4)c4c(c3CCCCC)cccc4)cc2)cc1,545,-6.635129
O=C(OC(COC(=O)Nc1ccccc1)CN1CCCCC1)Nc1ccccc1,239,-6.6343164
O(CCN(CC)CC)c1c(OCCN(CC)CC)cc2OC(=O)C=C(C)c2c1,371,-6.6342835
O=C(Oc1cc2c(cc(C(=N)N)cc2)cc1)c1ccc(NC2=NCCN2)cc1,170,-6.6337953
S=C(NC(=O)OCC)Nc1c(NC(=S)NC(=O)OCC)cccc1,2,-6.632863
O=C(NCCC(=O)OCC)N[C@@]1C(=O)N(c2ccc(C(=N)N)cc2)CC1,18,-6.6328168
O=C(OCC)c1c(OCC(O)CNC(C)(C)C)ccc(NC(=O)c2sccc2)c1,375,-6.6327853
S(=O)(=O)(NC(=O)Nc1c(NC(=S)NP(=O)(OCC)OCC)cccc1)c1ccc(C)cc1,148,-6.6320639
O=C(Oc1cc2[C@@]3(C)[C@@](N(C)c2cc1)N(C)CC3)NCCCCCCC,50,-6.6307106
Clc1c(C2(Cn3cncc3)OC(COc3ccc(-c4ccccc4)cc3)CO2)ccc(Cl)c1,674,-6.6306496
O=C(N(CC)CC)COc1c2c3c(O)c(C)c4O[C@@](C)(C(=O)c24)O/C=C/[C@](OC)[C@@](C)[C@@](OC(=O)C)[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)/C=C/C=C(/C)\C(=O)Nc(c3O)c1,230,-6.6304903
O=C(N(C(C)C)C(C)C)c1ccc(C2=N[C@]3[C@@](c4c2cc(OC)c(OCC)c4)CN(C)CC3)cc1,245,-6.630023
O=C(N[C@@]1C(=O)N2[C@@](C(=O)O)C(C)(C)S[C@]12)C(Oc1ccccc1)c1ccccc1,487,-6.6284032
Fc1c(N(CC(=O)O)C)c(F)c(Oc2cc(C=3N(C)CCN=3)ccc2)nc1Oc1c(O)ccc(C(=N)N)c1,147,-6.6254826
S(CCCN(C)C)c1n(Cc2ccccc2)nc2c1cccc2,517,-6.6250172
Clc1c(N)cc(OCC2CC2)c(C(=O)N[C@]2[C@@](CN3CCC(C)CC3)CCCC2)c1,369,-6.6246891
Ic1c(/N=C(\C)/N2CCOCC2)c(I)cc(I)c1C(=O)NCC(C(=O)O)C,280,-6.6238909
FC(F)(F)c1cc2N(CCCN3CCC(C(=O)c4ccc(F)cc4)CC3)c3c(Sc2cc1)cccc3,253,-6.6236415
Clc1c(/C=C/c2nc3c(c(NC(CCCN(CC)CC)C)c2)ccc(Cl)c3)cccc1,338,-6.6230631
O=C(OC)C=1C(=O)c2c(NC=1)cc(OCc1ccccc1)c(CCCC)c2,108,-6.6223497
S(C(=O)C)C[C@](C(=O)NCC(=O)OCc1ccccc1)Cc1ccccc1,23,-6.6202602
O(C)c1ccc(C2(c3ccccc3)C(=O)N(CCCN3CCC(c4ccccc4)CC3)C(=O)N2)cc1,107,-6.6197472
O(Cc1[nH]nnn1)c1cc2c(cc(-c3n(Cc4ccccc4)c4c(c3CCCCC)cccc4)cc2)cc1,545,-6.6192904
O(Cc1[nH]nnn1)c1cc2c(cc(-c3n(Cc4ccccc4)c4c(c3CCCCC)cccc4)cc2)cc1,545,-6.6190281
O=C(O)[C@@](Oc1nc(C)cc(C)n1)C(OCCc1cc(OC)c(OC)cc1)(c1ccccc1)c1ccccc1,443,-6.6169276
O=C1N(C2CCN(CC3(C)OCc4c(-n5c3ccc5)cccc4)CC2)c2c(N1)cccc2,135,-6.6164527
Fc1c(N2CCN(C)CC2)c2c3N(C(C)CC2)C=C(C(=O)O)C(=O)c3c1,577,-6.6146846
O=C(OC1CC[N+](CC)(C)CC1)C(N1CCCCCC1)c1noc2c1cccc2,659,-6.6143861
S(=O)(=O)(O)c1c2c(Nc3ccccc3)ccc(/N=N/c3c4c(O)cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c3)c2ccc1,232,-6.6142879
O=[N+]([O-])c1cc([C@@]2C(C(=O)OCCCN3CCC(c4ccccc4)(c4ccccc4)CC3)=C(C)NC(C)=C2C(=O)OC)ccc1,492,-6.6140761
O=C(O[C@@]1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)CC(=O)CCCCCCCCC,645,-6.6110749
Clc1cc(NC(=O)Cc2ccc(S(=O)(=O)Nc3ncc(CC(C)C)cn3)cc2)c(OC)cc1,28,-6.6100545
Clc1c(S(=O)(=O)C)ccc([C@](C(=O)Nc2nccnc2)C[C@@]2CC(=O)CC2)c1,626,-6.6073794
Fc1c(F)ccc(OC[C@@](O)CN2CCC(N(C)c3sc4c(n3)cccc4)CC2)c1,511,-6.6073642
Oc1c2c(OC(C)(C)C=3SCCCC2=3)cc(C(C(CCCCC)C)C)c1,453,-6.606061
O(CCCCC)c1c(OCC)cc(C2C(=O)NC(=O)S2)cc1,304,-6.6060143
C(=C/CC/C(=C/CN1CCN(Cc2cc3OCOc3cc2)CC1)/C)(\CC/C=C(\C)/C)/C,80,-6.6036816
O=C(N[C@@]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@]12)/C(=N\OC1C(=O)NCC1)/c1sc(N)nc1,228,-6.6036277
FC(F)(F)c1cc2N(CCCN3CCC(C(=O)c4ccc(F)cc4)CC3)c3c(Sc2cc1)cccc3,253,-6.6023273
Clc1c(Cl)c(/C(=N\OCCN(CC)CC)/c2occc2)ccc1OC,251,-6.6018124
O=C1N=C2C(Cc3ccc(-c4c(-c5[nH]nnn5)cccc4)cc3)=C(CCC)N=C(C)N2N1,336,-6.6003008
Clc1c(-c2c(C(=O)N[C@@]3C(=O)N4C(C(=O)O)=C(COC(=O)C)CS[C@]34)c(C)on2)cccc1,568,-6.6000528
Clc1cc(C(=O)c2ccccc2)c(NC(=O)CN(CC(=O)O)CC(=O)O)cc1,539,-6.5999165
Clc1cc2c([nH]c3c2CCN2[C@@]3C[C@@]3[C@](C(=O)OC)[C@@](OC)[C@](OC(=O)c4cc(OC)c(OC)c(OC)c4)C[C@@]3C2)cc1,476,-6.5995383
Clc1cc(/C(=N/CCCC(=O)N)/c2ccc(Cl)cc2)c(O)c(C)c1,331,-6.5992537
OCCN(CCO)CCCCCCCC/C=C\CCCCCCCC,386,-6.5982003
O=C(Oc1c2c(OC(C)(C)C3=C2CC(C)CC3)cc(C(C(CCCCC)C)C)c1)CCCN1CCCCCC1,380,-6.5981379
F[C@@]1[C@](O)[C@](O)[C@](C)O[C@]1O[C@@]1c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C[C@@](O)(C(=O)COC(=O)CCN)C1,297,-6.5972662
O=C(N[C@@]1C(=O)N2[C@@](C(=O)OCC3=C(C)OC(=O)O3)C(C)(C)S[C@]12)[C@](N)c1ccccc1,561,-6.5970621
O=[N+](O[C@@]([C@](O[N+](=O)[O-])[C@](O[N+](=O)[O-])CO[N+](=O)[O-])[C@](O[N+](=O)[O-])CO[N+](=O)[O-])[O-],491,-6.5970078
Fc1c(-c2[nH]c(c(-c3ccc(OC)cc3)n2)-c2ccc(OC)cc2)ccc(F)c1,459,-6.5966687
O=C(N1[C@@](C(=O)O)(Cn2nccc2)C[C@](COC)[C@@]1c1sccn1)c1cc(OC)c(C(C)(C)C)cc1,115,-6.5952587
O=C(OC(COC(=O)Nc1ccccc1)CN1CCCCC1)Nc1ccccc1,239,-6.5943646
S(=O)(=O)(O)c1cc(C(=O)OCC(=O)[C@]2(O)[C@]3(C)[C@]([C@@]4C=C(C)C=5[C@@](C)([C@]4[C@@](O)C3)Cc3c(n(-c4ccccc4)nc3)C=5)C[C@]2C)ccc1,373,-6.5920062
BrCCC(=O)N1CC[N+]2(CC[N+]3(CC2)CCN(C(=O)CCBr)CC3)CC1,531,-6.590941
O=C(OCCC12CC3CC(C1)CC(C2)C3)Cc1ccc(OCC(O)CNC(C)C)cc1,403,-6.5906925
Fc1c(N2CC(CNCC)CC2)c(F)cc2C(=O)C(C(=O)O)=CN(CC)c12,688,-6.5900884
O(CCOCCN1CCCCC1)CCOc1c(OC)cccc1,616,-6.5896811
Clc1cc2c([nH]c3c2CCN2[C@@]3C[C@@]3[C@](C(=O)OC)[C@@](OC)[C@](OC(=O)c4cc(OC)c(OC)c(OC)c4)C[C@@]3C2)cc1,476,-6.5886016
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)C=C4)CC3)[C@@](O)C2)CC1)CCC(=O)O,527,-6.5853982
O=C(OCC)C1(c2ccccc2)CCN(CCN2CCOCC2)CC1,216,-6.5843792
O=C(OCCN(C)C)C(OCC#C)(c1ccccc1)c1ccccc1,218,-6.5840783
Clc1cc2c([nH]c3c2CCN2[C@@]3C[C@@]3[C@](C(=O)OC)[C@@](OC)[C@](OC(=O)c4cc(OC)c(OC)c(OC)c4)C[C@@]3C2)cc1,476,-6.5839748
O=C1C=2[C@@](C)([C@@]([C@@](CCCC(C)C)C)C1)CC[C@@]1[C@]3(C)[C@](C[C@@](O)CC3)CCC=21,137,-6.5839028
O=C(N[C@@]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@]12)/C(=N\OC1C(=O)NCC1)/c1sc(N)nc1,228,-6.5838962
O(Cc1[nH]nnn1)c1cc2c(cc(-c3n(Cc4ccccc4)c4c(c3CCCCC)cccc4)cc2)cc1,545,-6.583868
Fc1c(N(CC(=O)O)C)c(F)c(Oc2cc(C=3N(C)CCN=3)ccc2)nc1Oc1c(O)ccc(C(=N)N)c1,147,-6.5832081
[N+](CCCCCCCCCC)(CCCCCCCCCC)(C)C,567,-6.5830517
Fc1c(N(CC(=O)O)C)c(F)c(Oc2cc(C=3N(C)CCN=3)ccc2)nc1Oc1c(O)ccc(C(=N)N)c1,147,-6.5824838
O=C1C(CCN2Cc3c4c(oc3CC2)cccc4)=C(C)N=C2N1C=CC=C2,624,-6.5817699
Oc1c2c(OC(C)(C)C=3SCCCC2=3)cc(C(C(CCCCC)C)C)c1,453,-6.5810599
O=[N+]([O-])c1cc2c3c(C(=O)N(CCN4CCCC4)C(=O)c3ccc2)c1,58,-6.5800285
S(=O)(=O)(OCC)c1c2c(cc(C(C)(C)C)c1)cc(C(C)(C)C)cc2,278,-6.5799041
[N+](CCCCCCCCCC)(CCCCCCCCCC)(C)C,567,-6.5797367
N(=N/n1c(c(C)[n+]2c1cccc2)-c1ccccc1)\n1c(c(C)[n+]2c1cccc2)-c1ccccc1,146,-6.5779877
O=C(OCC)O[C@]1[C@](O[C@]2[C@@](O)(C)C[C@@](C)C(=O)[C@](C)[C@@](O)[C@@](O)(C)[C@@](CC)OC(=O)[C@](C)[C@@](O[C@@]3O[C@@](C)[C@](O)[C@@](OC)(C)C3)[C@@]2C)O[C@](C)C[C@@]1N(C)C,633,-6.5777354
C(Cc1ccccc1)N1CCC(CCc2c3c([nH]c2)cccc3)CC1,219,-6.5759778
S(=O)(=O)(O)c1c2c(Nc3ccccc3)ccc(/N=N/c3c4c(O)cc(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c3)c2ccc1,232,-6.5758605
Clc1c(/C=C/c2nc3c(c(NC(CCCN(CC)CC)C)c2)ccc(Cl)c3)cccc1,338,-6.5754209
N(CCCCCCCCCCCCCCCCCC)(C)C,490,-6.5733533
O=C(OC)CC/C=C\CC[C@]1C(=O)C[C@@](O)[C@@]1/C=C/CC(O)(/C=C/C1=CCCC1)C,498,-6.5733495
S=C(Nc1ccc(OCC(C)C)cc1)Nc1ccc(-c2ncccc2)cc1,42,-6.5731997
O(C)c1c2O[C@]3[C@]4(OC)[C@@]([C@](O)(CC)C)C[C@]5([C@]63c2c(cc1)C[C@]5N(CC1CC1)CC6)C=C4,556,-6.5731673
O=C(NCC(O)CN(CC)CC)c1n(-c2ccccc2)c2c(c1OC)cccc2,496,-6.5730453
BrCCC(=O)N1CC[N+]2(CC[N+]3(CC2)CCN(C(=O)CCBr)CC3)CC1,531,-6.5727935
O=C([C@](NC)Cc1ccccc1)N1[C@](C(=O)N[C@](C=O)CCC/N=C(\N)/N)CCC1,189,-6.5719647
F[C@]1[C@](C/C=C\CCCC(=O)O)[C@@](/C=C/[C@@](O)COc2ccccc2)[C@](O)C1,546,-6.5719609
O=C1N(CCCN2CCCCCC2)[C@@](CC(C)C)[C@@](c2ccccc2)O1,207,-6.5717449
[N+](C(CCCCCCCCCCC)c1ccc(C)cc1)(C)(C)C,376,-6.5713358
Clc1cc2N(CCCN3CCN(CCN4C(=O)N(C)CC4)CC3)c3c(Sc2cc1)cccc3,339,-6.571125
P(=O)(OP(=O)(OC[C@@]1[C@@](O)[C@@](O)[C@]([n+]2cc(C(=O)N)ccc2)O1)[O-])(OC[C@@]1[C@@](O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O,180,-6.5703249
O(Cc1[nH]nnn1)c1cc2c(cc(-c3n(Cc4ccccc4)c4c(c3CCCCC)cccc4)cc2)cc1,545,-6.5698767
Clc1c(-c2c(C(=O)N[C@@]3C(=O)N4C(C(=O)O)=C(COC(=O)C)CS[C@]34)c(C)on2)cccc1,568,-6.5693631
O=C(N[C@@]1C(=O)N2[C@@](C(=O)OCC3=C(C)OC(=O)O3)C(C)(C)S[C@]12)[C@](N)c1ccccc1,561,-6.5690703
O=C(O)[C@@](N[C@](C(=O)N1[C@](C(=O)O)SC(C(C)(C)C)=N1)C)CCc1ccccc1,631,-6.5689855
O=C(N[C@]([C@@](O)CCCCCCCCCCCCCCC)CO)C,607,-6.5686121
O=C(OCC)[C@@](N[C@](C(=O)N1[C@](C(=O)O)C2CCC1CC2)C)CCc1ccccc1,604,-6.5685062
C(=C/CC/C(=C/CN1CCN(Cc2cc3OCOc3cc2)CC1)/C)(\CC/C=C(\C)/C)/C,80,-6.5669332
Fc1c(F)ccc(OC[C@@](O)CN2CCC(N(C)c3sc4c(n3)cccc4)CC2)c1,511,-6.5668902
Clc1ccc(C(C(NC(=O)/C=C\C(=O)O)C)Cc2ccc(Cl)cc2)cc1,434,-6.5658565
Clc1ccc(C(=O)n2c(C)c(CC(=O)OC3OC(=O)c4c3cccc4)c3c2ccc(OC)c3)cc1,60,-6.5638213
O=C(OC)CC/C=C\CC[C@]1C(=O)C[C@@](O)[C@@]1/C=C/CC(O)(/C=C/C1=CCCC1)C,498,-6.5637541
Oc1c2c(OC(C)(C)C=3SCCCC2=3)cc(C(C(CCCCC)C)C)c1,453,-6.5630031
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)C=C4)CC3)[C@@](O)C2)CC1)CCC(=O)O,527,-6.5605621
P(=O)(OP(=O)(OCC(OCn1c2nc(N)nc(O)c2nc1)CO)O)(OP(=O)(O)O)O,662,-6.5601025
Fc1c(-c2[nH]c(c(-c3ccc(OC)cc3)n2)-c2ccc(OC)cc2)ccc(F)c1,459,-6.5594625
O=C(N(C(C)C)C(C)C)c1ccc(C2=N[C@]3[C@@](c4c2cc(OC)c(OCC)c4)CN(C)CC3)cc1,245,-6.5588446
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)C=C4)CC3)[C@@](O)C2)CC1)CCC(=O)O,527,-6.5583382
O=C(N[C@]([C@@](O)CCCCCCCCCCCCCCC)CO)C,607,-6.5558901
O=S1(=O)C(CCCN(CCc2cc(OC)c(OC)cc2)C)(S(=O)(=O)CCC1)c1cc(OC)c(OC)cc1,39,-6.5528259
FC(F)(F)c1cc2N(CCCN3CCN(C4CC4)CC3)c3c(Sc2cc1)cccc3,698,-6.5526299
S(=O)(=O)(N1CCN(C(=O)c2ccc(Nc3c4c(ncc3)cc(C(F)(F)F)cc4)cc2)CC1)c1ccc(F)cc1,243,-6.5522728
Ic1c(NC(=O)c2ccc(F)cc2)cc(OC)c(C(=O)NCCN(CC)CC)c1,79,-6.5521927
O=C(OCC)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c2nonc2ccc1,468,-6.5519795
O=C(O)CCC/C=C/1\C[C@]2(C)[C@@]([C@@](/C=C/[C@@](O)CCCCC)[C@](O)C2)C\1,32,-6.5496821
Clc1cc2nccc(Nc3cc(CNC(C)(C)C)c(O)c(-c4ccc(Cl)cc4)c3)c2cc1,140,-6.5492148
Clc1c(CCC(N)(CO)CO)ccc(Sc2cc(OCc3ccccc3)ccc2)c1,354,-6.5487862
O=C(OCC)C1(c2ccccc2)CCN(CCN2CCOCC2)CC1,216,-6.5477033
Clc1c(F)c(Cl)cc([C@@]2(C(F)(F)F)ON=C(c3cc4c(C5(OC4)CN(C(=O)CS(=O)(=O)C)C5)cc3)C2)c1,392,-6.5464931
Clc1c(CCN2CCC(O)(C(C(=O)N(C)C3CCCCC3)C)CC2)cccc1,635,-6.5464735
O=C(OCC[N+]1(CC)CCCC1)c1cc(OC)c(OC)c(OC)c1,277,-6.5464721
O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC,64,-6.5458817
O=C(OCC)O[C@]1[C@](O[C@]2[C@@](O)(C)C[C@@](C)C(=O)[C@](C)[C@@](O)[C@@](O)(C)[C@@](CC)OC(=O)[C@](C)[C@@](O[C@@]3O[C@@](C)[C@](O)[C@@](OC)(C)C3)[C@@]2C)O[C@](C)C[C@@]1N(C)C,633,-6.5454206
O=S1(=O)C(CCCN(CCc2cc(OC)c(OC)cc2)C)(S(=O)(=O)CCC1)c1cc(OC)c(OC)cc1,39,-6.5450068
O=C(c1cc(C)c(OCCCN(CCCC)CCCC)c(C)c1)C=1Oc2c(C(=O)C=1)cccc2,116,-6.5448594
O=C(OC)CC/C=C\CC[C@]1C(=O)C[C@@](O)[C@@]1/C=C/CC(O)(/C=C/C1=CCCC1)C,498,-6.544497
O=C(NCCCN1CCN(c2c(OC)cccc2)CC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1,174,-6.5436211
O=C(N[C@]([C@@](O)CCCCCCCCCCCCCCC)CO)C,607,-6.5433893
Clc1cc(/C(=N/CCCC(=O)N)/c2ccc(Cl)cc2)c(O)c(C)c1,331,-6.5424871
Clc1cc2S[C@@](c3ccc(OC)cc3)[C@@](OC(=O)C)C(=O)N(CCN(C)C)c2cc1,570,-6.5420318
Oc1c2c(OC(C)(C)C3C2CC(O)CC3)cc(C(CCCCCC)(C)C)c1,196,-6.5418119
O=C(O)/C(=C/[C@@](N(C(=O)[C@@](NC(=O)[C@@](NC)C(C)(C)c1ccccc1)C(C)(C)C)C)C(C)C)/C,432,-6.5402689
Clc1c(CCN2CCC(O)(C(C(=O)N(C)C3CCCCC3)C)CC2)cccc1,635,-6.5386963
O=C(OC)CC/C=C\CC[C@]1C(=O)C[C@@](O)[C@@]1/C=C/CC(O)(/C=C/C1=CCCC1)C,498,-6.5382318
S(=O)(=O)(N1CCN(C(=O)c2ccc(Nc3c4c(ncc3)cc(C(F)(F)F)cc4)cc2)CC1)c1ccc(F)cc1,243,-6.5378637
BrCCC(=O)N1CC[N+]2(CC[N+]3(CC2)CCN(C(=O)CCBr)CC3)CC1,531,-6.5377464
O=C(O)[C@@](N[C@](C(=O)N1[C@](C(=O)O)Cc2c(cc(OC)c(OC)c2)C1)C)CCc1ccccc1,169,-6.5371943
Clc1cc2N(CCCN3CCC(C(=O)N)(N4CCCCC4)CC3)c3c(cccc3)CCc2cc1,121,-6.5351143
Clc1c(S(=O)(=O)Nc2cc(C(C)C)c(O)c(C(C)C)c2)cc(C2(O)N(C)C(=O)CC2)cc1,360,-6.5349212
O(c1cc2c(cc1)[C@@]1[C@]([C@]3[C@@](C)([C@@](O)[C@](O)C3)CC1)CC2)C1CCCC1,368,-6.5342627
O=C(NCC(O)CN(CC)CC)c1n(-c2ccccc2)c2c(c1OC)cccc2,496,-6.5341263
Fc1c(-c2[nH]c(c(-c3ccc(OC)cc3)n2)-c2ccc(OC)cc2)ccc(F)c1,459,-6.5339022
O=C(NCCCN1CCN(c2c(OC)cccc2)CC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1,174,-6.5338097
Clc1c(S(=O)(=O)Nc2cc(C(C)C)c(O)c(C(C)C)c2)cc(C2(O)N(C)C(=O)CC2)cc1,360,-6.533536
O(CCOCCN1CCCCC1)CCOc1c(OC)cccc1,616,-6.5318232
O=C(OCC)O[C@]1[C@](O[C@]2[C@@](O)(C)C[C@@](C)C(=O)[C@](C)[C@@](O)[C@@](O)(C)[C@@](CC)OC(=O)[C@](C)[C@@](O[C@@]3O[C@@](C)[C@](O)[C@@](OC)(C)C3)[C@@]2C)O[C@](C)C[C@@]1N(C)C,633,-6.5317078
O=C(OCC[N+]1(CC)CCCC1)c1cc(OC)c(OC)c(OC)c1,277,-6.5305882
Clc1c(N)cc(OCC2CC2)c(C(=O)N[C@]2[C@@](CN3CCC(C)CC3)CCCC2)c1,369,-6.5305443
S(=O)(=O)(Nc1cc(OC)c(Nc2c3c(c(C(=O)NC)ccc3)nc3c(C)cccc23)cc1)C,494,-6.5282454
O=C(N[C@]([C@@](O)CCCCCCCCCCCCCCC)CO)C,607,-6.5281386
O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC,64,-6.5280499
Ic1c(N(C(=O)C)CCO)c(I)c(C(=O)NC)c(I)c1NC(=O)[C@](O)[C@@](O)[C@](O)[C@](O)CO,99,-6.5273395
ClCCN(CCCl)CCOC(=O)CCNc1c2c(nc3c1cccc3)cccc2,387,-6.526998
Clc1ccc(C(=O)n2c3c(c(Cc4[nH]nnn4)c2)cccc3)cc1,488,-6.526979
Clc1c(-c2[nH]nnn2)c(O[C@@]2C[C@]3[C@](CN[C@](C(=O)OCC(CC)CC)C3)CC2)ccc1,385,-6.5258641
Fc1ccc(C(CCNC(=N)NCCCc2nc[nH]c2)c2ncccc2)cc1,560,-6.5238762
O=C(OCCOCC[N+](CC)(CC)C)C([N+]1(C)CCCCC1)c1ccccc1,356,-6.5235186
O=C(Oc1cc2c(cc1)[C@@]1[C@]([C@]3[C@@](C)([C@@](OC4=CCCCC4)CC3)CC1)CC2)CC,362,-6.5220399
N(C(CC1CCCCC1)C)CCC(c1ccccc1)c1ccccc1,422,-6.5215759
