mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,E_orig,Rec_index
S(C(=O)/C=C/c1ccc(N(C)C)cc1)CCNC(=O)CCNC(=O)[C@](O)C(COP(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)O)(C)C,1,18,-9.3694201,1.9105167,-473.6637,-105.55769,-10.387191,-59.109093,-9.3694201,0,1
S(C(=O)/C=C/c1ccc(N(C)C)cc1)CCNC(=O)CCNC(=O)[C@](O)C(COP(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)O)(C)C,1,18,-8.9458523,1.9847286,-471.17813,-63.133873,-9.6095219,-57.151276,-8.9458523,2.4003627,1
S(C(=O)/C=C/c1ccc(N(C)C)cc1)CCNC(=O)CCNC(=O)[C@](O)C(COP(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)O)(C)C,1,18,-8.7062902,1.784674,-470.44464,-78.501137,-8.7826471,-48.655319,-8.7062902,2.4003627,1
P(=O)(OC[C@](OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)(OCC[N+](C)(C)C)[O-],1,229,-8.6205187,2.2090394,-77.360336,-22.573639,-7.0338778,-43.82045,-8.6205187,0,1
O=[N+]([O-])c1cc(O[C@@]2[C@](O)[C@@](O)[C@@](O)[C@@](CO)O2)cc(C(=O)NCCCN2CCN(CCCNC=3C(=O)C(=O)C=3NCCCN3CCN(CCCNC(=O)c4cc(OC5C(O)C(O)C(O)C(CO)O5)cc([N+](=O)[O-])c4)CC3)CC2)c1,1,94,-8.5473242,3.8412948,393.71857,-21.96121,-0.65955752,-51.095318,-8.5473242,0,1
S(C(=O)/C=C/c1ccc(N(C)C)cc1)CCNC(=O)CCNC(=O)[C@](O)C(COP(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)O)(C)C,1,18,-8.5408201,4.6604877,-464.42249,-68.910942,-9.8331728,-53.601376,-8.5408201,0.00030952049,1
P(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)(OCC([C@@](O)C(=O)NCCC(=O)NCCC[N+](=O)[O-])(C)C)O,1,112,-8.5087233,2.6521044,-463.60635,-92.887733,-9.8543043,-53.389004,-8.5087233,1.3112617,1
O=C(N[C@@]1[C@](O)Cc2c1cccc2)[C@](OCc1ccccc1)[C@](O)C[C@@](OCc1ccccc1)C(=O)N[C@@]1[C@](O)Cc2c1cccc2,1,77,-8.4940958,2.4086766,96.721428,-66.717209,-9.1899862,-44.278519,-8.4940958,3.1358974,1
P(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)(OCC([C@@](O)C(=O)NCCC(=O)NCCC[N+](=O)[O-])(C)C)O,1,112,-8.4920855,3.6493924,-470.367,-73.292374,-10.031613,-57.426521,-8.4920855,1.4552298,1
O=[N+]([O-])c1cc(O[C@@]2[C@](O)[C@@](O)[C@@](O)[C@@](CO)O2)cc(C(=O)NCCCN2CCN(CCCNC=3C(=O)C(=O)C=3NCCCN3CCN(CCCNC(=O)c4cc(OC5C(O)C(O)C(O)C(CO)O5)cc([N+](=O)[O-])c4)CC3)CC2)c1,1,94,-8.4493475,4.2809834,401.11884,43.809437,-0.91781056,-51.968475,-8.4493475,8.6716194e-005,1
S(C(=O)/C=C/c1ccc(N(C)C)cc1)CCNC(=O)CCNC(=O)[C@](O)C(COP(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)O)(C)C,1,18,-8.3963041,4.1524973,-455.91974,-17.992193,-9.4390221,-54.640903,-8.3963041,0.00074091298,1
[P@@](=O)(OC[C@@](OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC)(OCC[N+])O,1,193,-8.3161373,5.8584199,-90.271614,59.437229,1.4508237,-49.546227,-8.3161373,0.9742834,1
O=[N+]([O-])c1cc(O[C@@]2[C@](O)[C@@](O)[C@@](O)[C@@](CO)O2)cc(C(=O)NCCCN2CCN(CCCNC=3C(=O)C(=O)C=3NCCCN3CCN(CCCNC(=O)c4cc(OC5C(O)C(O)C(O)C(CO)O5)cc([N+](=O)[O-])c4)CC3)CC2)c1,1,94,-8.2556343,5.2265053,397.65689,8.9250498,-7.2301078,-47.399483,-8.2556343,0.00017343239,1
Clc1c2Oc3c(OC4C(O)C(O)C(O)C(CO)O4)c4Oc5c(Cl)cc(C(OC6OC(C)C(=O)C(N)(C)C6)C6C(=O)NC(C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)C(C(=O)N6)NC(=O)C(NC(=O)C(CC(=O)N)NC(=O)C(NC(=O)C(NC)CC(C)C)C(O)c(c1)cc2)c(c3)c4)cc5,1,13,-8.2394304,1.6506048,231.07343,-61.284058,-8.9140606,-49.275341,-8.2394304,0,1
P(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)(OCC([C@@](O)C(=O)NCCC(=O)NCCC[N+](=O)[O-])(C)C)O,1,112,-8.1768475,2.3610165,-488.48087,-53.784027,-11.397515,-49.09285,-8.1768475,0.19421387,1
O=[N+]([O-])c1cc(O[C@@]2[C@](O)[C@@](O)[C@@](O)[C@@](CO)O2)cc(C(=O)NCCCN2CCN(CCCNC=3C(=O)C(=O)C=3NCCCN3CCN(CCCNC(=O)c4cc(OC5C(O)C(O)C(O)C(CO)O5)cc([N+](=O)[O-])c4)CC3)CC2)c1,1,94,-8.1696005,4.4609075,398.33902,19.808561,-1.2374264,-50.302898,-8.1696005,8.6716194e-005,1
P(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)(OCC([C@@](O)C(=O)NCCC(=O)NCCC[N+](=O)[O-])(C)C)O,1,112,-8.1600714,2.1367719,-482.61835,-117.15289,-10.032123,-50.284473,-8.1600714,1.2438745,1
O=[N+]([O-])c1cc(O[C@@]2[C@](O)[C@@](O)[C@@](O)[C@@](CO)O2)cc(C(=O)NCCCN2CCN(CCCNC=3C(=O)C(=O)C=3NCCCN3CCN(CCCNC(=O)c4cc(OC5C(O)C(O)C(O)C(CO)O5)cc([N+](=O)[O-])c4)CC3)CC2)c1,1,94,-8.1254873,2.3523936,400.23828,62.693176,-2.723587,-45.878532,-8.1254873,0.00017343239,1
O=C(OC(C)(C)C)N[C@](C(=O)C[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc1ccccc1)CCC(=O)N)Cc1ccccc1)Cc1ccccc1,1,214,-8.1233587,2.3160024,-192.9957,-71.195099,-7.3994927,-47.621677,-8.1233587,0.0065383911,1
P(=O)(OP(=O)(OC[C@@]1[C@@](O)[C@@](OP(=O)(O)O)[C@](n2c3NCN[C@@]([N+])c3nc2)O1)O)(OC[C@@]1[C@@](O)[C@@](O)[C@](O)O1)O,1,330,-8.1047144,1.6088146,-485.18085,-87.908882,-12.892086,-51.192749,-8.1047144,0.484375,1
P(=O)(OC[C@](OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)O,1,68,-8.0993919,1.4123486,-0.043900069,-72.382652,-8.8927546,-44.704884,-8.0993919,0,1
P(=O)(O)([C@](NC(=O)OCc1ccccc1)Cc1ccccc1)C[C@](C(=O)N[C@](C(=O)N)Cc1c2c([nH]c1)cccc2)CCCc1ccccc1,1,186,-8.0674915,1.6418904,-91.558792,-32.901859,-7.0886455,-37.913788,-8.0674915,0,1
O=C(N[C@](C(=O)NC)C(C)C)[C@](OCc1ccccc1)[C@](O)[C@@](O)[C@@](OCc1ccccc1)C(=O)N[C@@]1[C@](O)Cc2c1cccc2,1,132,-8.0630798,2.181747,136.64095,-71.199066,-7.8773308,-33.826492,-8.0630798,0.66933089,1
O([C@@]1C(CO)=C[C@](N[C@]2[C@](O)[C@@](O)[C@@](O[C@]3[C@](O)[C@@](O)[C@@](O[C@]4[C@](O)[C@@](O)[C@@](O)O[C@@]4CO)O[C@@]3CO)O[C@@]2C)[C@](O)[C@]1O)[C@@]1[C@](O)[C@@](O)[C@](O)[C@@](C)O1,1,281,-8.0335035,2.4855177,287.90036,-79.29966,-11.104882,-47.745335,-8.0335035,1.7226222,1
P(=O)(OP(=O)(OC[C@@]1[C@@](OP(=O)(O)O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O)(OCC([C@@](O)C(=O)NCCC(=O)NCCC[N+](=O)[O-])(C)C)O,1,112,-8.0188084,1.7906597,-483.28519,-78.155869,-10.740132,-51.209805,-8.0188084,1.5054755,1
O=C(O)CCc1c(C)c2[nH]c1Cc1c(CCC(=O)O)c(C)c([nH]1)Cc1c(C)c(CCC(=O)O)c([nH]1)Cc1c(C)c(CCC(=O)O)c([nH]1)C2,1,298,-7.9919124,2.6108019,-167.88548,-69.337852,-10.691514,-43.631359,-7.9919124,0.72107041,1
P(=O)(OP(=O)(OC[C@@]1[C@@](O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)[O-])(OC[C@@]1[C@@](O)[C@@](O)[C@]([n+]2cc(C(=O)N)c([C@@](C(=O)CC)C)cc2)O1)O,1,265,-7.9634361,2.2518921,-311.05399,-50.114555,-9.5054665,-49.971622,-7.9634361,2.5279589,1
O=C(N[C@](C(=O)NCCCCC)Cc1cc(C(=O)O)c(OCC(=O)O)cc1)[C@@](NC(=O)CCC(=O)O)Cc1ccccc1,1,353,-7.9253078,1.4341179,-93.397369,-57.112514,-8.8300362,-43.757938,-7.9253078,0.7439121,1
O([C@@]1C(CO)=C[C@](N[C@]2[C@](O)[C@@](O)[C@@](O[C@]3[C@](O)[C@@](O)[C@@](O[C@]4[C@](O)[C@@](O)[C@@](O)O[C@@]4CO)O[C@@]3CO)O[C@@]2C)[C@](O)[C@]1O)[C@@]1[C@](O)[C@@](O)[C@](O)[C@@](C)O1,1,281,-7.910687,1.5651568,287.35318,-113.54658,-12.075615,-48.372429,-7.910687,1.7226222,1
O=C(OC(C)(C)C)N[C@](C(=O)C[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N)Cc1ccccc1)CCC(=O)N)Cc1ccccc1)Cc1ccccc1,1,214,-7.8702645,2.8700781,-188.50322,-64.086624,-7.607058,-37.180511,-7.8702645,0.31147003,1
