mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
S(SCCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C)CCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C,1,3,-11.333873,5.7520103,-239.23112,-30.940695,-5.4822812,-72.61216,-11.333873,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.0029972051,1
Fc1ccc(/C=N/OCC(=O)NCCOCCOCCOCCOCCOCCNC(=O)COCC(=O)NCCCC[C@]2C(=O)N[C@@]3C(=O)N[C@@](CCCNC(=N)N)C(=O)NCC(=O)N[C@@](CC(=O)O)C(=O)N[C@](C(=O)N[C@@](Cc4ccccc4)C(=O)N[C@](C(=O)NCCOCCOCCOCCNC(=O)COCC(=O)N)CSCC(=O)N2)CSSC3)cc1,1,789,-11.06115,5.3923082,-73.164192,-29.235023,-5.284719,-69.178734,-11.06115,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.4723053,1
S(SCCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C)CCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C,1,3,-11.036705,2.1200135,-246.52284,-55.770042,-10.193818,-71.674156,-11.036705,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.0029972051,1
S(SCCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C)CCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C,1,3,-10.48993,2.6298296,-242.29317,18.144529,-6.3929391,-66.646133,-10.48993,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
Fc1ccc(/C=N/OCC(=O)NCCOCCOCCOCCOCCOCCNC(=O)COCC(=O)NCCCC[C@]2C(=O)N[C@@]3C(=O)N[C@@](CCCNC(=N)N)C(=O)NCC(=O)N[C@@](CC(=O)O)C(=O)N[C@](C(=O)N[C@@](Cc4ccccc4)C(=O)N[C@](C(=O)NCCOCCOCCOCCNC(=O)COCC(=O)N)CSCC(=O)N2)CSSC3)cc1,1,789,-10.28504,3.3299639,-64.271332,-24.122011,-5.490941,-65.325462,-10.28504,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.46576691,1
Fc1ccc(/C=N/OCC(=O)NCCOCCOCCOCCOCCOCCNC(=O)COCC(=O)NCCCC[C@]2C(=O)N[C@@]3C(=O)N[C@@](CCCNC(=N)N)C(=O)NCC(=O)N[C@@](CC(=O)O)C(=O)N[C@](C(=O)N[C@@](Cc4ccccc4)C(=O)N[C@](C(=O)NCCOCCOCCOCCNC(=O)COCC(=O)N)CSCC(=O)N2)CSSC3)cc1,1,789,-10.104889,4.7335448,-72.389023,-51.316414,-6.0648098,-64.936989,-10.104889,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.35956573,1
Fc1ccc(/C=N/OCC(=O)NCCOCCOCCOCCOCCOCCNC(=O)COCC(=O)NCCCC[C@]2C(=O)N[C@@]3C(=O)N[C@@](CCCNC(=N)N)C(=O)NCC(=O)N[C@@](CC(=O)O)C(=O)N[C@](C(=O)N[C@@](Cc4ccccc4)C(=O)N[C@](C(=O)NCCOCCOCCOCCNC(=O)COCC(=O)N)CSCC(=O)N2)CSSC3)cc1,1,789,-10.096926,4.0619993,-74.035675,-37.201721,-7.4121919,-63.17675,-10.096926,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.30493164,1
S(CC[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CCCNC(=N)N)CCC(=O)N)[C@](CC)C)CCCCN)[C@](CC)C)Cc1c2c([nH]c1)cccc2)Cc1ccccc1)CCC(=O)N)CC(=O)N)CCCNC(=N)N)CCCNC(=N)N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)CCCCN)C,1,577,-9.9520454,3.4201474,-638.81165,-12.260184,-1.1763346,-47.783665,-9.9520454,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
Fc1ccc(/C=N/OCC(=O)NCCOCCOCCOCCOCCOCCNC(=O)COCC(=O)NCCCC[C@]2C(=O)N[C@@]3C(=O)N[C@@](CCCNC(=N)N)C(=O)NCC(=O)N[C@@](CC(=O)O)C(=O)N[C@](C(=O)N[C@@](Cc4ccccc4)C(=O)N[C@](C(=O)NCCOCCOCCOCCNC(=O)COCC(=O)N)CSCC(=O)N2)CSSC3)cc1,1,789,-9.9422865,6.0326838,-72.379868,-28.609877,-4.9856586,-63.108032,-9.9422865,$HOME/My Research/Docking/sdf/smiles_data3.sdf,1.0888672,1
S(SCCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C)CCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C,1,3,-9.8159981,3.7650886,-238.15752,12.237818,-5.4572506,-61.168499,-9.8159981,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.0029972051,1
S(SCCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C)CCNC(=O)CCNC(=O)C(OC(=O)CCC(=O)OCc1cnccc1)C(COC(=O)CCC(=O)OCc1cnccc1)(C)C,1,3,-9.8048306,4.0380645,-247.51799,18.268713,-5.6768122,-60.361183,-9.8048306,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N([C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)C)[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2,1,138,-9.7893457,1.9860115,-112.507,-54.829227,-5.3055105,-56.187992,-9.7893457,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c(C)[nH]c2c1cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,378,-9.572793,3.2183957,-142.08076,-63.617889,-6.5678606,-60.901516,-9.572793,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
S(=O)(=O)(O)[C@@]1Nc2c(C(=O)N3c4c(cccc4)C[C@@]13)cc(OC)c(OCc1cc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCC(=O)NCCN3C(=O)C=CC3=O)C)C)cc(COc3c(OC)cc4C(=O)N5c6c(cccc6)C[C@]5CNc4c3)c1)c2,1,19,-9.5563745,5.5107484,65.005676,-50.352333,-11.28564,-61.905022,-9.5563745,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.755144,1
O=C(N[C@](C(=O)N)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCC(=O)O)C)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2)CC(C)C)CC(=O)O,1,810,-9.5402536,4.610311,-156.99344,-8.9847393,-7.8231473,-61.636314,-9.5402536,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.0038928986,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c(C)[nH]c2c1cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,378,-9.4964333,2.8018382,-132.17166,-82.955933,-8.475523,-59.491566,-9.4964333,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N[C@](C(=O)N)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCC(=O)O)C)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2)CC(C)C)CC(=O)O,1,810,-9.4758005,2.3666849,-150.34846,-51.619259,-8.5021734,-60.835064,-9.4758005,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N[C@](C(=O)N)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCC(=O)O)C)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2)CC(C)C)CC(=O)O,1,810,-9.4022999,2.2938018,-154.32098,-34.206287,-8.0669594,-55.144932,-9.4022999,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N[C@](C(=O)N)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCC(=O)O)C)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2)CC(C)C)CC(=O)O,1,810,-9.307868,2.7552722,-150.02054,-1.4976273,-8.5087852,-52.348518,-9.307868,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.0065383911,1
O=C(N[C@](C(=O)N)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCC(=O)O)C)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2)CC(C)C)CC(=O)O,1,810,-9.2549896,2.0249784,-150.02722,-72.97963,-8.4163561,-51.445145,-9.2549896,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
S(CC[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CCCNC(=N)N)CCC(=O)N)[C@](CC)C)CCCCN)[C@](CC)C)Cc1c2c([nH]c1)cccc2)Cc1ccccc1)CCC(=O)N)CC(=O)N)CCCNC(=N)N)CCCNC(=N)N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)CCCCN)C,1,577,-9.2062149,2.6470563,-644.83099,-11.395328,-0.36828664,-54.800751,-9.2062149,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N[C@@](C(=O)N[C@](C(=O)N)CCCCN)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)[C@](NC(=O)[C@@](N)Cc1nc[nH]c1)Cc1c(C)[nH]c2c1cccc2)C)Cc1c2c([nH]c1)cccc2,1,896,-9.1501484,4.4586258,38.227314,-39.36327,-7.4310403,-55.669579,-9.1501484,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.013076782,1
S(=O)(=O)(O)[C@@]1Nc2c(C(=O)N3c4c(cccc4)C[C@@]13)cc(OC)c(OCc1cc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCC(=O)NCCN3C(=O)C=CC3=O)C)C)cc(COc3c(OC)cc4C(=O)N5c6c(cccc6)C[C@]5CNc4c3)c1)c2,1,19,-9.1045618,3.1787524,59.817467,-5.0372868,-7.6180406,-56.196774,-9.1045618,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.00059986435,1
S(=O)(=O)(O)[C@@]1Nc2c(C(=O)N3c4c(cccc4)C[C@@]13)cc(OC)c(OCc1cc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCC(=O)NCCN3C(=O)C=CC3=O)C)C)cc(COc3c(OC)cc4C(=O)N5c6c(cccc6)C[C@]5CNc4c3)c1)c2,1,19,-9.0902348,3.2658057,60.57769,-25.661316,-7.4051223,-57.318542,-9.0902348,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.17183445,1
S(CC[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CCCNC(=N)N)CCC(=O)N)[C@](CC)C)CCCCN)[C@](CC)C)Cc1c2c([nH]c1)cccc2)Cc1ccccc1)CCC(=O)N)CC(=O)N)CCCNC(=N)N)CCCNC(=N)N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCCN)Cc1c2c([nH]c1)cccc2)CCCCN)C,1,577,-8.985177,2.0462277,-645.55792,-5.0683818,0.78536081,-53.594292,-8.985177,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
S(=O)(=O)(O)[C@@]1Nc2c(C(=O)N3c4c(cccc4)C[C@@]13)cc(OC)c(OCc1cc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCC(=O)NCCN3C(=O)C=CC3=O)C)C)cc(COc3c(OC)cc4C(=O)N5c6c(cccc6)C[C@]5CNc4c3)c1)c2,1,19,-8.9782705,2.4659762,73.311165,-63.18565,-9.8261747,-40.016064,-8.9782705,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.76220703,1
O=C(O)[C@@](NC(=O)[C@@]([C@@](OC)[C@]1N(C(=O)C[C@@](OC)[C@@](N(C(=O)[C@@](NC(=O)[C@@](N(C(=O)CCCCCN2C(=O)C=CC2=O)C)C(C)C)C(C)C)C)[C@](CC)C)CCC1)C)Cc1ccccc1,1,949,-8.9428453,2.4062424,30.874046,-51.611553,-7.6355209,-53.770618,-8.9428453,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.062516749,1
S(=O)(=O)(O)[C@@]1Nc2c(C(=O)N3c4c(cccc4)C[C@@]13)cc(OC)c(OCc1cc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCC(=O)NCCN3C(=O)C=CC3=O)C)C)cc(COc3c(OC)cc4C(=O)N5c6c(cccc6)C[C@]5CNc4c3)c1)c2,1,19,-8.9287205,7.7173085,69.272385,-43.687702,-7.0795345,-56.463547,-8.9287205,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.52486181,1
O=C(OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,1,546,-8.909049,8.7004614,37.258579,26.277531,-6.3067932,-49.725582,-8.909049,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.96121418,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c(C)[nH]c2c1cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,378,-8.8101635,3.1191378,-135.52562,-31.531092,-5.1986475,-49.946804,-8.8101635,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N([C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)C)[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2,1,138,-8.7963667,2.4049871,-119.58237,-52.919643,-6.1969042,-52.001396,-8.7963667,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N[C@@](C(=O)N[C@](C(=O)N)CCCCN)Cc1ccccc1)[C@@](NC(=O)[C@@](NC(=O)[C@](NC(=O)[C@@](N)Cc1nc[nH]c1)Cc1c(C)[nH]c2c1cccc2)C)Cc1c2c([nH]c1)cccc2,1,896,-8.7741423,3.6709406,45.393806,-28.198729,-8.5320606,-48.401443,-8.7741423,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c(C)[nH]c2c1cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,378,-8.7719059,3.127152,-138.00995,-59.861897,-7.4438314,-51.985416,-8.7719059,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(N([C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)C)[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2,1,138,-8.7620869,2.838109,-125.77503,-40.291073,-4.8145537,-48.86615,-8.7620869,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
O=C(OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,1,546,-8.7201042,2.6314495,27.891762,-44.971317,-7.1780467,-47.665756,-8.7201042,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0.76220703,1
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CC(C)C)CCC(=O)O)CC(=O)O)CCC1)CCCCN)Cc1ccccc1)CC(C)C,1,524,-8.6477137,2.7253273,-23.492811,-38.55975,-7.0786052,-45.354977,-8.6477137,$HOME/My Research/Docking/sdf/smiles_data3.sdf,0,1
